total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.64632525774789,121.64632521060744,121.64632521060744,0.0,0.01788496971130371,0.02,0.004402875900268555,0.0,0.02,0.047140452079105444,1,1,1,2,1,7
119.98235502282145,119.9823548592788,121.5229090909091,0.01283983993677348,0.11130809783935547,0.11,0.006163835525512695,0.01,0.12,0.16354265333401946,1,1,2,2,1,16
120.17882655179939,120.17882641037804,121.14104762431062,0.008006578551922746,0.03818011283874512,0.04,0.004601955413818359,0.0,0.04,0.14142135623730423,1,1,2,2,2,10
121.27744329932466,121.27744311076285,121.90869295525033,0.0052050062096952645,0.03720211982727051,0.04,0.0201261043548584,0.02,0.06,0.18856180831641134,1,1,2,2,2,2
120.81106325995873,120.81106307139692,121.46088284202308,0.005378810136304619,0.03798198699951172,0.04,0.0056231021881103516,0.01,0.05,0.18856180831640956,1,1,2,2,2,8
121.3776955058983,121.3776954313627,121.3776954313627,0.0,0.017524003982543945,0.02,0.0064809322357177734,0.01,0.03,0.07453559924998776,1,1,1,2,1,12
121.09629899206139,121.09629882539473,121.73477477477478,0.005272464605220113,0.03747296333312988,0.04,0.003171205520629883,0.0,0.04,0.16666666666666563,1,1,2,2,2,4
121.09680478369451,121.09680464227316,121.09680464227316,0.0,0.016754865646362305,0.02,0.0033750534057617188,0.0,0.02,0.14142135623730656,1,1,1,2,1,19
121.50215640471859,121.50215625564739,121.50215625564739,0.0,0.01802802085876465,0.02,0.01569509506225586,0.02,0.04,0.14907119849998585,1,1,1,2,1,15
121.11992854451557,121.11992843910632,121.11992843910632,0.0,0.018045902252197266,0.02,0.006283998489379883,0.01,0.03,0.10540925533894485,1,1,1,2,1,17
121.74991419141914,121.7499141580858,121.7499141580858,0.0,0.14449501037597656,0.14,0.01450490951538086,0.01,0.15000000000000002,0.033333333333332105,1,1,1,2,1,6
121.37478547854788,121.37478531188121,121.37478531188121,0.0,0.01867198944091797,0.02,0.010317802429199219,0.01,0.03,0.16666666666666174,1,1,1,2,1,24
119.40729660673877,119.40729644507883,121.27637847951375,0.015652996844247334,0.11742806434631348,0.12,0.005448818206787109,0.01,0.13,0.16165994746932585,1,1,2,2,1,22
120.60270378939927,120.60270360083746,121.27594212451987,0.005582283842579955,0.03818321228027344,0.04,0.009539127349853516,0.01,0.05,0.18856180831640956,1,1,2,2,2,14
120.60270378939927,120.60270360083746,121.27594212451987,0.005582283842579955,0.03891611099243164,0.04,0.008553028106689453,0.01,0.05,0.18856180831640956,1,1,2,2,2,18
121.46143842650355,121.46143832109429,121.46143832109429,0.0,0.017688989639282227,0.02,0.008970975875854492,0.01,0.03,0.1054092553389454,1,1,1,2,1,9
121.37027212815349,121.37027193959167,121.37027193959167,0.0,0.01849198341369629,0.02,0.0074291229248046875,0.01,0.03,0.18856180831641145,1,1,1,2,1,25
119.62954703290592,119.6295468899644,120.98379193293218,0.01132032243015527,0.07774496078491211,0.08,0.0031578540802001953,0.0,0.08,0.14294152037569016,2,2,3,2,2,"8,16"
120.61012716714409,120.61012704695904,120.61012704695904,0.0,0.03937506675720215,0.04,0.008449077606201172,0.01,0.05,0.12018504251545747,2,2,2,2,2,"12,14"
120.11997338613783,120.11997324319631,121.64346773002511,0.012683107111123897,0.26364994049072266,0.26,0.02097296714782715,0.02,0.28,0.14294152037569008,2,2,4,2,2,"2,4"
121.13960283241694,121.13960271223189,121.13960271223189,0.0,0.017925024032592773,0.02,0.008204936981201172,0.01,0.03,0.12018504251546469,2,2,2,2,2,"2,14"
120.69387008774932,120.69386996756427,120.69386996756427,0.0,0.04769086837768555,0.05,0.019078969955444336,0.02,0.07,0.12018504251546103,2,2,2,2,2,"9,14"
