,total_value,total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
100%,121.6463253,121.6463253,121.6463252,121.6463252,0,0.020522833,0.02,0.022962093,0.02,0.04,0.047140452,1,1,1,2,1,7
98%,119.5926558,121.4990545,119.5926556,121.5229091,0.016140234,0.105190039,0.11,0.024848938,0.03,0.14,0.202439024,1,1,2,2,1,16
99%,120.1788266,121.0820218,120.1788264,121.1410476,0.008006579,0.051789999,0.05,0.051705837,0.05,0.1,0.141421356,1,1,2,2,2,10
99%,121.2819566,121.9071712,121.2819565,121.908693,0.005167599,0.052770853,0.05,0.006959915,0.01,0.06,0.166666667,1,1,2,2,2,2
99%,120.8155766,121.4407911,120.8155764,121.4608828,0.005341252,0.051418066,0.05,0.006711006,0.01,0.06,0.166666667,1,1,2,2,2,8
100%,121.3776955,121.3776955,121.3776954,121.3776954,0,0.019887924,0.02,0.00771904,0.01,0.03,0.074535599,1,1,1,2,1,12
99%,121.0917856,121.7215135,121.0917855,121.7347748,0.005309933,0.051763058,0.05,0.018131971,0.02,0.07,0.188561808,1,1,2,2,2,4
101%,121.0968048,119.6796593,121.0968046,121.0968046,0,0.019107103,0.02,0.007968187,0.01,0.03,0.141421356,1,1,1,2,1,19
99%,120.8769419,121.5021564,120.8769417,121.5366895,0.005458012,0.051976919,0.05,0.009529114,0.01,0.06,0.166666667,1,1,2,2,2,15
100%,121.1199285,121.1199285,121.1199284,121.1199284,0,0.02054286,0.02,0.019500017,0.02,0.04,0.105409255,1,1,1,2,1,17
100%,121.3962394,121.7499142,121.3962394,121.754014,0.002947163,0.072005987,0.07,0.020776033,0.02,0.09,0.047140452,1,1,2,2,2,6
100%,121.3747855,121.3747855,121.3747853,121.3747853,0,0.020093918,0.02,0.017107964,0.02,0.04,0.166666667,1,1,1,2,1,24
100%,121.2266523,121.2266523,121.2266522,121.2266522,0,0.16849494,0.17,0.006561995,0.01,0.18,0.137436854,1,1,1,2,1,22
100%,120.6072171,120.7345881,120.607217,121.2759421,0.005544653,0.054447174,0.05,0.02138114,0.02,0.07,0.166666667,1,1,2,2,2,14
99%,120.6072171,121.2324317,120.607217,121.2759421,0.005544653,0.051892042,0.05,0.016360044,0.02,0.07,0.166666667,1,1,2,2,2,18
100%,121.4614384,121.4614384,121.4614383,121.4614383,0,0.019562006,0.02,0.006680965,0.01,0.03,0.105409255,1,1,1,2,1,9
100%,121.3702721,121.3702721,121.3702719,121.3702719,0,0.16887784,0.17,0.022985935,0.02,0.19,0.188561808,1,1,1,2,1,25
100%,120.9398457,120.9398457,120.9398456,120.9398456,0,0.02033782,0.02,0.017098904,0.02,0.04,0.1,2,2,2,2,2,"8,16"
100%,120.6101272,120.6101272,120.610127,120.610127,0,0.01908493,0.02,0.021599054,0.02,0.04,0.120185043,2,2,2,2,2,"12,14"
100%,121.6286847,121.6286847,121.6286846,121.6286846,0,0.053138018,0.05,0.027613878,0.03,0.08,0.1,2,2,2,2,2,"2,4"
100%,121.1396028,121.1396028,121.1396027,121.1396027,0,0.069397926,0.07,0.007190943,0.01,0.08,0.120185043,2,2,2,2,2,"2,14"
100%,120.6938701,120.6938701,120.69387,120.69387,0,0.068459034,0.07,0.005501032,0.01,0.08,0.120185043,2,2,2,2,2,"9,14"
100%,121.1484817,121.1484817,121.1484815,121.1484815,0,0.020313025,0.02,0.003745079,0,0.02,0.149071198,2,2,2,2,2,"7,15"
100%,120.7345881,120.7345881,120.7345879,120.7345879,0,0.019361973,0.02,0.005594015,0.01,0.03,0.149071198,2,2,2,2,2,"14,15"
