"V1" "V2" "V3"
"1" 1 2 1
"2" 1 3 2
"3" 1 4 3
"4" 1 5 4
"5" 1 6 5
"6" 1 7 6
"7" 1 8 1
"8" 1 9 1.414214
"9" 1 10 2.236068
"10" 1 11 3.162278
"11" 1 12 4.123106
"12" 1 13 5.09902
"13" 1 14 6.082763
"14" 1 15 2
"15" 1 16 2.236068
"16" 1 17 2.828427
"17" 1 18 3.605551
"18" 1 19 4.472136
"19" 1 20 5.385165
"20" 1 21 6.324555
"21" 1 22 3
"22" 1 23 3.162278
"23" 1 24 3.605551
"24" 1 25 4.242641
"25" 1 26 5
"26" 1 27 5.830952
"27" 1 28 6.708204
"28" 1 29 4
"29" 1 30 4.123106
"30" 1 31 4.472136
"31" 1 32 5
"32" 1 33 5.656854
"33" 1 34 6.403124
"34" 1 35 7.211103
"35" 1 36 5
"36" 1 37 5.09902
"37" 1 38 5.385165
"38" 1 39 5.830952
"39" 1 40 6.403124
"40" 1 41 7.071068
"41" 1 42 7.81025
"42" 1 43 6
"43" 1 44 6.082763
"44" 1 45 6.324555
"45" 1 46 6.708204
"46" 1 47 7.211103
"47" 1 48 7.81025
"48" 1 49 8.485281
"49" 2 1 1
"50" 2 3 1
"51" 2 4 2
"52" 2 5 3
"53" 2 6 4
"54" 2 7 5
"55" 2 8 1.414214
"56" 2 9 1
"57" 2 10 1.414214
"58" 2 11 2.236068
"59" 2 12 3.162278
"60" 2 13 4.123106
"61" 2 14 5.09902
"62" 2 15 2.236068
"63" 2 16 2
"64" 2 17 2.236068
"65" 2 18 2.828427
"66" 2 19 3.605551
"67" 2 20 4.472136
"68" 2 21 5.385165
"69" 2 22 3.162278
"70" 2 23 3
"71" 2 24 3.162278
"72" 2 25 3.605551
"73" 2 26 4.242641
"74" 2 27 5
"75" 2 28 5.830952
"76" 2 29 4.123106
"77" 2 30 4
"78" 2 31 4.123106
"79" 2 32 4.472136
"80" 2 33 5
"81" 2 34 5.656854
"82" 2 35 6.403124
"83" 2 36 5.09902
"84" 2 37 5
"85" 2 38 5.09902
"86" 2 39 5.385165
"87" 2 40 5.830952
"88" 2 41 6.403124
"89" 2 42 7.071068
"90" 2 43 6.082763
"91" 2 44 6
"92" 2 45 6.082763
"93" 2 46 6.324555
"94" 2 47 6.708204
"95" 2 48 7.211103
"96" 2 49 7.81025
"97" 3 1 2
"98" 3 2 1
"99" 3 4 1
"100" 3 5 2
"101" 3 6 3
"102" 3 7 4
"103" 3 8 2.236068
"104" 3 9 1.414214
"105" 3 10 1
"106" 3 11 1.414214
"107" 3 12 2.236068
"108" 3 13 3.162278
"109" 3 14 4.123106
"110" 3 15 2.828427
"111" 3 16 2.236068
"112" 3 17 2
"113" 3 18 2.236068
"114" 3 19 2.828427
"115" 3 20 3.605551
"116" 3 21 4.472136
"117" 3 22 3.605551
"118" 3 23 3.162278
"119" 3 24 3
"120" 3 25 3.162278
"121" 3 26 3.605551
"122" 3 27 4.242641
"123" 3 28 5
"124" 3 29 4.472136
"125" 3 30 4.123106
"126" 3 31 4
"127" 3 32 4.123106
"128" 3 33 4.472136
"129" 3 34 5
"130" 3 35 5.656854
"131" 3 36 5.385165
"132" 3 37 5.09902
"133" 3 38 5
