node_id,x_coordinate,y_coordinate,value_at_start,value_degradation_rate,fire_degradation_rate,fire_amelioration_rate,state,neighborhood_list
1,0.5,0.5,0.1,0.05,0.98,0.45,1,"[8, 2]"
2,1.5,0.5,1,0.11,0.33,0.13,0,"[9, 1, 3]"
3,2.5,0.5,1,0.17,0.45,0.255,0,"[10, 2, 4]"
4,3.5,0.5,0.1,0.02,0.63,0.27,0,"[11, 3, 5]"
5,4.5,0.5,0.1,0.03,0.82,0.365,0,"[12, 4, 6]"
6,5.5,0.5,0.1,0.03,0.75,0.375,0,"[13, 5, 7]"
7,6.5,0.5,0.1,0.03,0.69,0.4,1,"[14, 6]"
8,0.5,1.5,0.8,0.22,0.8,0.385,0,"[1, 15, 9]"
9,1.5,1.5,0.8,0.19,0.63,0.365,0,"[2, 16, 8, 10]"
10,2.5,1.5,0.2,0.07,0.78,0.45,0,"[3, 17, 9, 11]"
11,3.5,1.5,0.4,0.02,0.28,0.06,0,"[4, 18, 10, 12]"
12,4.5,1.5,0.4,0.08,0.43,0.205,0,"[5, 19, 11, 13]"
13,5.5,1.5,0,0.00,0,0,5,"[6, 20, 12, 14]"
14,6.5,1.5,0.4,0.10,0.81,0.345,0,"[7, 21, 13]"
15,0.5,2.5,0.2,0.01,0.09,0.135,0,"[8, 22, 16]"
16,1.5,2.5,0.2,0.04,0.53,0.275,0,"[9, 23, 15, 17]"
17,2.5,2.5,0.2,0.05,0.69,0.27,0,"[10, 24, 16, 18]"
18,3.5,2.5,1,0.06,0.12,0.08,0,"[11, 25, 17, 19]"
19,4.5,2.5,1,0.11,0.37,0.12,0,"[12, 26, 18, 20]"
20,5.5,2.5,0,0.00,0,0,5,"[13, 27, 19, 21]"
21,6.5,2.5,0.2,0.04,0.47,0.27,0,"[14, 28, 20]"
22,0.5,3.5,0.1,0.04,0.93,0.47,0,"[15, 29, 23]"
23,1.5,3.5,0.1,0.03,0.84,0.425,0,"[16, 30, 22, 24]"
24,2.5,3.5,0.4,0.12,0.88,0.425,0,"[17, 31, 23, 25]"
25,3.5,3.5,0.4,0.08,0.61,0.23,1,"[18, 32, 24, 26]"
26,4.5,3.5,0.1,0.02,0.44,0.26,0,"[19, 33, 25, 27]"
27,5.5,3.5,0.1,0.03,0.78,0.41,0,"[20, 34, 26, 28]"
28,6.5,3.5,0.1,0.03,0.95,0.385,0,"[21, 35, 27]"
29,0.5,4.5,0.8,0.15,0.51,0.26,0,"[22, 36, 30]"
30,1.5,4.5,1,0.49,0.91,0.49,0,"[23, 37, 29, 31]"
31,2.5,4.5,0.1,0.00,0.15,0.045,0,"[24, 38, 30, 32]"
32,3.5,4.5,1,0.47,0.94,0.47,0,"[25, 39, 31, 33]"
33,4.5,4.5,0.1,0.04,0.8,0.38,0,"[26, 40, 32, 34]"
34,5.5,4.5,0.1,0.04,0.9,0.4,0,"[27, 41, 33, 35]"
35,6.5,4.5,0.1,0.05,1,0.485,0,"[28, 42, 34]"
36,0.5,5.5,0.8,0.21,0.48,0.26,0,"[29, 43, 37]"
37,1.5,5.5,0.2,0.05,0.52,0.24,0,"[30, 44, 36, 38]"
38,2.5,5.5,0.1,0.01,0.3,0.14,0,"[31, 45, 37, 39]"
39,3.5,5.5,0.1,0.03,0.48,0.31,0,"[32, 46, 38, 40]"
40,4.5,5.5,0.1,0.05,0.88,0.465,0,"[33, 47, 39, 41]"
41,5.5,5.5,0.1,0.03,0.66,0.305,0,"[34, 48, 40, 42]"
42,6.5,5.5,0.1,0.04,0.8,0.415,0,"[35, 49, 41]"
43,0.5,6.5,0.1,0.05,0.75,0.45,6,"[36, 44]"
44,1.5,6.5,1,0.14,0.32,0.135,0,"[37, 43, 45]"
45,2.5,6.5,0.1,0.03,0.85,0.345,0,"[38, 44, 46]"
46,3.5,6.5,0.1,0.04,0.8,0.39,0,"[39, 45, 47]"
47,4.5,6.5,0.1,0.04,0.76,0.43,0,"[40, 46, 48]"
48,5.5,6.5,0.1,0.04,0.75,0.38,0,"[41, 47, 49]"
49,6.5,6.5,0.2,0.01,0.5,0.045,1,"[42, 48]"
