node_id,x_coordinate,y_coordinate,value_at_start,value_degradation_rate,fire_degradation_rate,fire_amelioration_rate,neighborhood_list,state
1,0.5,0.5,1,1.8320748215604232,5.336,2.79,"[8, 2]",6
2,1.5,0.5,1,1.4550867902324214,4.688000000000001,2.11,"[9, 1, 3]",0
3,2.5,0.5,1.901858730280426,1.0713410421008247,1.52,0.895,"[10, 2, 4]",0
4,3.5,0.5,1.7623711476334347,2.7923764294318127,4.760000000000001,2.375,"[11, 3, 5]",0
5,4.5,0.5,1,2.185215169171011,6.488,3.295,"[12, 4, 6]",0
6,5.5,0.5,2.9072673696129074,5.930631076303171,5.84,3.135,"[13, 5, 7]",1
7,6.5,0.5,1,1.8788732394366199,5.336,2.9,"[14, 6]",0
8,0.5,1.5,8.501834333613996,2.331320609720567,0.8720000000000001,0.4,"[1, 15, 9]",1
9,1.5,1.5,6.443809906003657,6.361573498816738,2.888,1.5,"[2, 16, 8, 10]",0
10,2.5,1.5,1.6308862824476376,2.2460808408121324,4.328,2.02,"[3, 17, 9, 11]",1
11,3.5,1.5,1,2.3295370908386595,6.776,3.55,"[4, 18, 10, 12]",0
12,4.5,1.5,1,2.489465221950367,7.784,3.66,"[5, 19, 11, 13]",1
13,5.5,1.5,3.990599206813789,8.361722182093645,6.2,3.165,"[6, 20, 12, 14]",0
14,6.5,1.5,1,1.3088682490540076,3.824,1.99,"[7, 21, 13]",0
15,0.5,2.5,4.15528623168845,4.582947817502079,3.248,1.67,"[8, 22, 16]",1
16,1.5,2.5,6.601380167414845,4.758847161081224,2.168,1.08,"[9, 23, 15, 17]",0
17,2.5,2.5,1,1.574465372355839,4.472,2.43,"[10, 24, 16, 18]",0
18,3.5,2.5,1,1.6646994535519128,4.760000000000001,2.56,"[11, 25, 17, 19]",0
19,4.5,2.5,1,1.5777148304507695,5.048,2.295,"[12, 26, 18, 20]",0
20,5.5,2.5,6.267983675874281,5.8261017212506525,2.96,1.355,"[13, 27, 19, 21]",0
21,6.5,2.5,1,0.5708622078968574,1.592,0.89,"[14, 28, 20]",1
22,0.5,3.5,1,1.513777516877018,4.5440000000000005,2.27,"[15, 29, 23]",0
23,1.5,3.5,1,1.6691411541587644,4.832000000000001,2.55,"[16, 30, 22, 24]",1
24,2.5,3.5,-1,0,0,0,"[17, 31, 23, 25]",4
25,3.5,3.5,-1,0,0,0,"[18, 32, 24, 26]",4
26,4.5,3.5,1,2.054189628986765,6.128,3.09,"[19, 33, 25, 27]",0
27,5.5,3.5,7.084045063520488,7.217739776201543,3.3200000000000003,1.47,"[20, 34, 26, 28]",1
28,6.5,3.5,6.3191286924153705,5.719758212681752,2.528,1.41,"[21, 35, 27]",0
29,0.5,4.5,1,1.915724902677834,5.5520000000000005,2.925,"[22, 36, 30]",1
30,1.5,4.5,1,2.261789883268482,6.92,3.36,"[23, 37, 29, 31]",1
31,2.5,4.5,1.2506906584163549,2.2717444978211097,5.408,2.735,"[24, 38, 30, 32]",0
32,3.5,4.5,0,0,0,0,"[25, 39, 31, 33]",5
33,4.5,4.5,0,0,0,0,"[26, 40, 32, 34]",5
34,5.5,4.5,10,16.851879797059972,5.192,2.495,"[27, 41, 33, 35]",0
35,6.5,4.5,-1,0,0,0,"[28, 42, 34]",4
36,0.5,5.5,1,2.0982477967858992,6.5600000000000005,3.085,"[29, 43, 37]",1
37,1.5,5.5,1,1.6317232202262142,5.12,2.395,"[30, 44, 36, 38]",0
38,2.5,5.5,10,9.074277790617057,3.032,1.295,"[31, 45, 37, 39]",0
39,3.5,5.5,0,0,0,0,"[32, 46, 38, 40]",5
40,4.5,5.5,0,0,0,0,"[33, 47, 39, 41]",5
41,5.5,5.5,2.6047603713525147,2.705294982176647,2.96,1.6,"[34, 48, 40, 42]",1
42,6.5,5.5,1,2.1616535758577924,6.416,3.26,"[35, 49, 41]",0
43,0.5,6.5,1,2.6586183769282363,7.928,4.0,"[36, 44]",1
44,1.5,6.5,1,1.6382183595871809,4.904,2.46,"[37, 43, 45]",1
45,2.5,6.5,1,1.6453992084072608,4.832000000000001,2.495,"[38, 44, 46]",1
46,3.5,6.5,1,2.3459994356128306,7.136,3.495,"[39, 45, 47]",1
47,4.5,6.5,2.5472706288413596,1.9244704963932828,2.24,1.14,"[40, 46, 48]",1
48,5.5,6.5,2.426741610979043,0.6964885527555672,1.016,0.4,"[41, 47, 49]",0
49,6.5,6.5,1,2.128115345005149,6.5600000000000005,3.15,"[42, 48]",0
