,total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_jobs_arrived,number_of_job_processed,number_of_initial_fires,initial_fire_node_IDs
0,3.6,3.6,3.6,0,0.006421089,0.01,0,0,-1,0,
0,3.2,3.199996,3.199996,0,0.033843994,0.04,4,1,1,1,3
0,3.4308,3.43079718,3.43079718,0,0.039060831,0.04,2.82,1,1,1,5
0,1.314341818,1.314331928,1.318829884,0.003422237,0.117752075,0.12,9.89,6,5,1,6
0,3.326545455,3.326540975,3.336947392,0.0031283,0.043073177,0.04,4.48,2,2,1,7
0,2.387367273,2.387357963,2.408432575,0.008827588,0.093549013,0.1,9.31,5,5,1,8
0,2.190472727,2.190463417,2.210993156,0.009372327,0.081716061,0.09,9.31,5,5,1,9
0,3.0308,3.030796,3.030796,0,0.03509593,0.04,4,2,2,2,"3,5"
0,1.314341818,1.314331928,1.314331928,0,0.113108873,0.12,9.89,6,5,2,"3,6"
0,2.672145455,2.672138805,2.672138805,0,0.064813137,0.07,6.65,3,3,2,"3,7"
0,1.656167273,1.656157963,1.666484054,0.006234967,0.132906914,0.14,9.31,6,5,2,"3,8"
0,1.459272727,1.459263417,1.472179802,0.008851304,0.101416111,0.11,9.31,6,5,2,"3,9"
0,1.724909091,1.724899781,1.741387014,0.009558372,0.21055603,0.21,9.31,5,4,2,"5,6"
0,3.021985455,3.021980045,3.021980045,0,0.064632893,0.07,5.41,3,3,2,"5,7"
0,2.387367273,2.387357963,2.408432575,0.008827588,0.075263977,0.08,9.31,5,5,2,"5,8"
0,2.387367273,2.387357963,2.408787048,0.008976067,0.084199905,0.09,9.31,5,5,2,"5,9"
0,1.459272727,1.459263417,1.47327776,0.00960371,0.144099951,0.15,9.31,6,5,2,"6,7"
0,1.656167273,1.656157963,1.666484054,0.006234967,0.111306906,0.11,9.31,6,5,2,"6,8"
0,1.459272727,1.459263417,1.472179802,0.008851304,0.108906031,0.11,9.31,6,5,2,"6,9"
0,2.387367273,2.387357963,2.403080369,0.006585693,0.134187937,0.14,9.31,5,5,2,"7,8"
0,2.190472727,2.190463417,2.190463417,0,0.067456961,0.07,9.31,5,5,2,"7,9"
0,2.387367273,2.387357963,2.411195987,0.009985107,0.081945896,0.08,9.31,5,5,2,"8,9"
0,1.724909091,1.724899781,1.741387014,0.009558372,0.191420078,0.19,9.31,5,4,3,"3,5,6"
0,1.656167273,1.656157963,1.66678763,0.006418269,0.187082052,0.19,9.31,6,5,3,"3,5,7"
0,1.656167273,1.656157963,1.668273369,0.007315369,0.164374113,0.17,9.31,6,5,3,"3,5,8"
0,1.656167273,1.656157963,1.671026667,0.00897783,0.188608885,0.19,9.31,6,5,3,"3,5,9"
0,1.459272727,1.459263417,1.47327776,0.00960371,0.164223909,0.17,9.31,6,5,3,"3,6,7"
0,1.656167273,1.656157963,1.666484054,0.006234967,0.203681946,0.21,9.31,6,5,3,"3,6,8"
0,1.459272727,1.459263417,1.472179802,0.008851304,0.11523509,0.12,9.31,6,5,3,"3,6,9"
0,1.656167273,1.656157963,1.669705298,0.008179978,0.171168804,0.17,9.31,6,5,3,"3,7,8"
0,1.459272727,1.459263417,1.469810942,0.007227978,0.165936947,0.17,9.31,6,5,3,"3,7,9"
0,1.656167273,1.656157963,1.669287895,0.007927947,0.190243959,0.19,9.31,6,5,3,"3,8,9"
0,1.656167273,1.656157963,1.660607632,0.002686742,0.181314945,0.18,9.31,6,5,3,"5,6,7"
0,1.656167273,1.656157963,1.669405276,0.007998822,0.109255075,0.11,9.31,6,5,3,"5,6,8"
0,1.656167273,1.656157963,1.671026667,0.00897783,0.130549908,0.13,9.31,6,5,3,"5,6,9"
0,2.387367273,2.387357963,2.410577251,0.009725935,0.094300985,0.1,9.31,5,5,3,"5,7,8"
0,2.387367273,2.387357963,2.409861201,0.009426001,0.083822012,0.09,9.31,5,5,3,"5,7,9"
0,2.387367273,2.387357963,2.387357963,0,0.081200123,0.08,9.31,5,5,3,"5,8,9"
0,1.656167273,1.656157963,1.666542525,0.006270273,0.13330102,0.13,9.31,6,5,3,"6,7,8"
0,1.459272727,1.459263417,1.469810942,0.007227978,0.099179029,0.1,9.31,6,5,3,"6,7,9"
0,1.656167273,1.656157963,1.669287895,0.007927947,0.180733919,0.18,9.31,6,5,3,"6,8,9"
0,2.387367273,2.387357963,2.407193156,0.008308429,0.095775843,0.1,9.31,5,5,3,"7,8,9"
0,1.656167273,1.656157963,1.669336325,0.007957189,0.203768015,0.21,9.31,6,5,4,"3,5,6,7"
0,1.656167273,1.656157963,1.670333708,0.008559416,0.099852085,0.1,9.31,6,5,4,"3,5,6,8"
0,1.656167273,1.656157963,1.671026667,0.00897783,0.149544001,0.15,9.31,6,5,4,"3,5,6,9"
0,1.656167273,1.656157963,1.663537352,0.004455728,0.195288897,0.2,9.31,6,5,4,"3,5,7,8"
0,1.656167273,1.656157963,1.670676142,0.00876618,0.153512955,0.16,9.31,6,5,4,"3,5,7,9"
0,1.656167273,1.656157963,1.672150933,0.009656669,0.15601182,0.16,9.31,6,5,4,"3,5,8,9"
0,1.656167273,1.656157963,1.669705298,0.008179978,0.138893843,0.14,9.31,6,5,4,"3,6,7,8"
0,1.459272727,1.459263417,1.469810942,0.007227978,0.09768796,0.1,9.31,6,5,4,"3,6,7,9"
0,1.656167273,1.656157963,1.669287895,0.007927947,0.173475027,0.18,9.31,6,5,4,"3,6,8,9"
0,1.656167273,1.656157963,1.668389845,0.007385698,0.154304981,0.16,9.31,6,5,4,"3,7,8,9"
0,1.656167273,1.656157963,1.671805265,0.009447953,0.149791956,0.15,9.31,6,5,4,"5,6,7,8"
0,1.656167273,1.656157963,1.670676142,0.00876618,0.164102077,0.17,9.31,6,5,4,"5,6,7,9"
0,1.656167273,1.656157963,1.671015085,0.008970837,0.106551886,0.11,9.31,6,5,4,"5,6,8,9"
0,2.387367273,2.387357963,2.387357963,0,0.082416058,0.08,9.31,5,5,4,"5,7,8,9"
0,1.656167273,1.656157963,1.657346067,0.000717386,0.170918941,0.17,9.31,6,5,4,"6,7,8,9"
0,1.656167273,1.656157963,1.656354707,0.000118795,0.179117918,0.18,9.31,6,5,5,"3,5,6,7,8"
0,1.656167273,1.656157963,1.670676142,0.00876618,0.180994987,0.18,9.31,6,5,5,"3,5,6,7,9"
0,1.656167273,1.656157963,1.671019085,0.008973252,0.107862949,0.11,9.31,6,5,5,"3,5,6,8,9"
0,1.656167273,1.656157963,1.657729141,0.000948689,0.179828167,0.18,9.31,6,5,5,"3,5,7,8,9"
0,1.656167273,1.656157963,1.668389845,0.007385698,0.16456604,0.17,9.31,6,5,5,"3,6,7,8,9"
0,1.656167273,1.656157963,1.661759338,0.00338215,0.194318056,0.2,9.31,6,5,5,"5,6,7,8,9"
0,1.656167273,1.656157963,1.657729141,0.000948689,0.115290165,0.12,9.31,6,5,6,"3,5,6,7,8,9"
