"V1" "V2" "V3"
"1" 1 3 2
"2" 1 5 1.414214
"3" 1 6 2.236068
"4" 1 7 2
"5" 1 8 2.236068
"6" 1 9 2.828427
"7" 3 1 2
"8" 3 4 2.236068
"9" 3 5 1.414214
"10" 3 6 1
"11" 3 7 2.828427
"12" 3 8 2.236068
"13" 3 9 2
"14" 4 3 2.236068
"15" 4 5 1
"16" 4 6 2
"17" 4 7 1
"18" 4 8 1.414214
"19" 4 9 2.236068
"20" 5 1 1.414214
"21" 5 3 1.414214
"22" 5 4 1
"23" 5 6 1
"24" 5 7 1.414214
"25" 5 8 1
"26" 5 9 1.414214
"27" 6 1 2.236068
"28" 6 3 1
"29" 6 4 2
"30" 6 5 1
"31" 6 7 2.236068
"32" 6 8 1.414214
"33" 6 9 1
"34" 7 1 2
"35" 7 3 2.828427
"36" 7 4 1
"37" 7 5 1.414214
"38" 7 6 2.236068
"39" 7 8 1
"40" 7 9 2
"41" 8 1 2.236068
"42" 8 3 2.236068
"43" 8 4 1.414214
"44" 8 5 1
"45" 8 6 1.414214
"46" 8 7 1
"47" 8 9 1
"48" 9 1 2.828427
"49" 9 3 2
"50" 9 4 2.236068
"51" 9 5 1.414214
"52" 9 6 1
"53" 9 7 2
"54" 9 8 1
