total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_jobs_arrived,number_of_job_processed,number_of_initial_fires,initial_fire_node_IDs
10.72,10.7199975,10.7199975,0,0.907501936,0.91,2.5,1,1,1,20
10.75456,10.75455929,10.75455929,0,0.089346886,0.09,0.71,1,1,1,7
10.75927273,10.75927161,10.75927161,0,0.088996172,0.09,1.12,1,1,1,8
10.6656,10.66559776,10.66559776,0,0.824476004,0.83,2.24,1,1,1,23
10.78,10.7799995,10.7799995,0,0.088775158,0.09,0.5,1,1,1,2
10.66816,10.66815794,10.66815794,0,0.087332964,0.09,2.06,1,1,1,10
10.45904,10.45903607,10.45903607,0,4.898386002,4.9,3.93,3,3,1,25
10.752,10.751999,10.751999,0,0.826879025,0.83,1,1,1,1,11
10.7,10.6999975,10.6999975,0,0.818141937,0.82,2.5,1,1,1,24
10.76,10.759999,10.759999,0,0.090162992,0.09,1,1,1,1,3
10.72832,10.72831776,10.72831776,0,0.088338852,0.09,2.24,1,1,1,15
10.768,10.7679995,10.7679995,0,0.089168787,0.09,0.5,1,1,1,6
10.71818182,10.71818002,10.71818002,0,0.085794926,0.09,1.8,1,1,1,14
10.71818182,10.71818002,10.71818002,0,0.087588072,0.09,1.8,1,1,1,18
10.74,10.7399985,10.7399985,0,0.088413,0.09,1.5,1,1,1,4
10.12945455,10.12945093,10.12977207,3.17E-05,26.08296013,26.09,3.62,5,6,1,19
10.6764,10.67639794,10.67639794,0,0.089701891,0.09,2.06,1,1,1,22
9.922094545,9.92208989,9.923041721,9.59E-05,49.52476621,49.53,4.655,6,7,2,"19,25"
10.19510545,10.19510199,10.19611767,9.96E-05,12.78683901,12.79,3.46,5,5,2,"18,19"
10.68032,10.68031776,10.68031776,0,0.858065128,0.86,2.24,2,2,2,"11,15"
10.5656,10.5655975,10.5655975,0,0.859411955,0.86,2.5,2,2,2,"23,24"
10.67927279,10.67927029,10.67927029,0,0.864425898,0.87,2.499999,2,2,2,"8,20"
10.26512,10.26511626,10.26511626,0,10.45268106,10.46,3.74,4,4,2,"23,25"
10.68832,10.68831776,10.68831776,0,0.875616074,0.88,2.24,2,2,2,"3,15"
10.67200006,10.67199756,10.67199756,0,0.908890963,0.91,2.499999,2,2,2,"11,20"
10.72,10.719999,10.719999,0,0.893136024,0.9,1,2,2,2,"6,11"
10.61818182,10.61817932,10.61817932,0,0.867616177,0.87,2.5,2,2,2,"18,24"
10.62816,10.62815794,10.62815794,0,0.873601913,0.88,2.06,2,2,2,"3,10"
9.90716,9.90715607,9.908004531,8.56E-05,109.056334,109.06,3.93,6,6,2,"19,20"
10.72727273,10.72727161,10.72727161,0,0.088221073,0.09,1.12,2,2,2,"6,8"
10.65456,10.6545575,10.6545575,0,0.856403112,0.86,2.5,2,2,2,"7,24"
10.748,10.7479995,10.7479995,0,0.086778879,0.09,0.5,2,2,2,"2,6"
10.70656,10.706559,10.706559,0,0.872861147,0.88,1,2,2,2,"7,11"
10.06879636,10.06879264,10.06975887,9.60E-05,31.65338182,31.66,3.725,6,6,2,"3,19"
10.41936,10.41935638,10.41935638,0,7.171231031,7.17,3.62,4,4,2,"6,25"
10.70832,10.70831776,10.70831776,0,0.088378906,0.11,2.24,2,2,2,"2,15"
10.71927273,10.71927161,10.71927161,0,0.088425875,0.09,1.12,2,2,2,"3,8"
9.847996364,9.847991624,9.848861599,8.83E-05,193.4544852,193.46,4.74,7,7,3,"11,19,25"
9.987745455,9.9877408,9.987940725,2.00E-05,39.63348913,39.64,4.655,6,6,3,"18,19,25"
10.49018182,10.4901792,10.4901792,0,0.90238595,0.91,2.62,3,3,3,"11,14,23"
10.39649455,10.39649178,10.39649215,3.56E-08,2.521100998,2.52,2.77,4,4,3,"8,10,18"
10.57265455,10.57265274,10.57265274,0,1.016579151,1.02,1.81,3,3,3,"3,8,18"
10.52112,10.52111794,10.52111794,0,0.960523129,0.96,2.06,3,3,3,"4,7,10"
10.51527273,10.51527011,10.51527011,0,0.902774096,0.91,2.62,3,3,3,"8,23,24"
10.59872,10.59871738,10.59871738,0,1.004950047,1.01,2.62,3,3,3,"2,15,24"
10.582,10.58199772,10.58199772,0,0.938226938,0.94,2.28,3,3,3,"2,11,22"
10.24,10.23999595,10.23999595,0,11.08597493,11.09,4.05,5,5,3,"2,10,25"
10.19448364,10.1944806,10.1944806,0,27.33374,27.34,3.035,5,5,3,"8,15,18"
10.47872006,10.47871744,10.47871744,0,1.208645105,1.21,2.62,3,3,3,"3,15,20"
10.63528727,10.63528541,10.63528541,0,1.07418704,1.08,1.86,3,3,3,"6,7,18"
10.17248,10.17247576,10.17344904,9.57E-05,16.68067908,16.68,4.24,5,5,3,"11,23,25"
10.47847273,10.4784703,10.4784703,0,0.962924957,0.97,2.43,3,3,3,"8,22,23"
10.50112,10.50111741,10.50119718,7.60E-06,1.110157967,1.11,2.59,3,3,3,"3,15,22"
10.31776,10.31775595,10.31775595,0,11.61007905,11.61,4.05,5,5,3,"4,6,25"
10.64728727,10.64728541,10.64728541,0,0.916028976,0.92,1.86,3,3,3,"2,7,14"
10.57200021,10.57199793,10.57199793,0,0.916038036,0.92,2.279999,3,3,3,"2,10,11"
10.03170545,10.03170162,10.03246972,7.66E-05,39.37914491,39.38,3.83,6,6,3,"4,18,19"
9.986341818,9.986337428,9.98639545,5.81E-06,36.68147588,36.68,4.39,6,6,4,"3,18,22,25"
9.726294545,9.726290565,9.727069161,8.01E-05,1062.767542,1062.77,3.98,8,8,4,"2,7,15,19"
10.3264,10.3263971,10.3263971,0,1.718032122,1.72,2.9,4,4,4,"4,6,22,23"
9.995407273,9.995403943,9.995882875,4.79E-05,40.80348301,40.81,3.33,6,6,4,"10,11,14,18"
10.18624,10.18623576,10.18707171,8.21E-05,20.09351182,20.1,4.24,6,6,4,"3,7,15,25"
10.35152,10.35151738,10.35151738,0,3.39674902,3.4,2.62,4,4,4,"3,4,15,22"
10.36135273,10.36134899,10.36237195,9.87E-05,3.332137108,3.34,3.74,5,5,4,"6,8,24,25"
9.281386215,9.281381095,9.629853712,0.037545341,3600.145861,3600.15,5.119999,9,9,4,"11,19,20,22"
10.16576027,10.16575622,10.16655715,7.88E-05,15.89669108,15.9,4.05,6,6,4,"2,6,10,25"
10.52816,10.52815748,10.52815748,0,1.141256809,1.15,2.52,4,4,4,"2,3,7,24"
9.918970909,9.918966479,9.919955702,9.97E-05,60.83266306,60.84,4.43,7,7,4,"8,10,11,20"
9.03000451,9.02999896,9.677701704,0.071727887,3600.046828,3600.05,5.549999235,9,9,4,"4,15,19,23"
10.50952727,10.50952541,10.50952541,0,1.204457998,1.21,1.86,4,4,4,"6,7,11,14"
9.999163636,9.999160056,10.00013171,9.72E-05,66.94706798,66.97,3.58,5,5,4,"2,14,18,22"
9.879865455,9.879860905,9.880611041,7.59E-05,76.03161597,76.04,4.55,7,7,4,"8,14,15,25"
9.728563636,9.728558966,9.729483756,9.51E-05,514.2424178,514.25,4.67,7,7,4,"6,10,18,20"
9.345080634,9.345075584,9.62413277,0.029861416,3600.066682,3600.07,5.049999046,8,8,4,"15,19,23,24"
10.39864727,10.39864506,10.39864506,0,1.40970397,1.41,2.21,4,4,4,"3,7,10,14"
10.17706184,10.17705826,10.17705826,0,67.93191814,67.94,3.579999913,5,5,4,"3,10,14,24"
9.72274575,9.722741525,9.723661461,9.46E-05,2076.860976,2076.87,4.224999,8,8,4,"2,4,11,19"
10.02300727,10.02300325,10.02369048,6.86E-05,47.2378881,47.24,4.02,7,7,5,"3,7,14,15,20"
10.21328046,10.21327653,10.21327653,0,35.02155185,35.03,3.929993624,6,6,5,"2,3,6,24,25"
9.424909166,9.424905046,9.514971242,0.009556191,3600.119643,3600.12,4.11999999,7,7,5,"10,15,18,20,22"
8.763990052,8.763984312,9.523886194,0.086707353,3600.052738,3600.06,5.739999,11,11,5,"8,11,15,18,25"
9.408880638,9.408876058,9.679283421,0.028739603,3600.112306,3600.12,4.579999,7,7,5,"3,10,18,20,23"
9.987767401,9.987763911,9.987763911,0,62.7900629,62.79,3.49,6,6,5,"3,7,10,18,20"
9.528345455,9.528340525,9.529174686,8.75E-05,2588.454595,2588.46,4.93,9,9,5,"7,11,15,19,25"
8.991552727,8.991547987,9.5797348,0.065415523,3600.068287,3600.07,4.74,10,10,5,"2,6,10,19,22"
9.709814545,9.709809805,9.710686426,9.03E-05,1120.644873,1120.65,4.74,8,8,5,"6,8,11,20,25"
9.429491244,9.429486944,9.63710542,0.022018003,3600.564006,3600.57,4.299999827,7,7,5,"4,10,18,20,23"
9.749247273,9.749243473,9.75004463,8.22E-05,164.9779809,164.98,3.8,7,7,5,"7,11,15,18,22"
9.045182713,9.045177473,9.505606526,0.050903264,3600.075923,3600.08,5.239998742,10,10,5,"6,8,15,18,20"
9.962661818,9.962658238,9.963461206,8.06E-05,47.45598197,47.46,3.58,6,6,5,"3,4,10,14,24"
9.606250909,9.606246169,9.607032593,8.19E-05,1761.858673,1761.86,4.74,9,9,5,"6,7,15,19,25"
9.68512,9.68511564,9.686060298,9.75E-05,817.2104511,817.22,4.36,6,6,5,"2,11,15,22,24"
9.768981818,9.768977928,9.769899519,9.43E-05,250.1327209,250.14,3.89,6,6,5,"2,11,18,22,24"
10.07727273,10.0772693,10.07747115,2.00E-05,25.81956697,25.83,3.43,6,6,5,"3,6,8,10,23"
9.686821818,9.686817238,9.687757495,9.71E-05,434.0964561,434.1,4.58,7,7,5,"10,11,14,24,25"
9.899734545,9.899729995,9.900453798,7.31E-05,59.45430994,59.46,4.55,7,7,5,"7,15,18,20,25"
9.915690909,9.915686579,9.916672055,9.94E-05,79.69434381,79.7,4.33,8,8,5,"6,7,14,18,20"
9.36046223,9.3604573,9.642981503,0.030182735,3600.295155,3600.3,4.929999371,9,9,6,"3,8,10,11,15,20"
10.16130182,10.16129911,10.1622249,9.11E-05,46.07307792,46.08,2.71,6,6,6,"3,6,7,8,15,23"
9.133495423,9.133489573,9.643454523,0.055834623,3600.300346,3600.3,5.849999,10,10,6,"3,7,11,14,20,23"
9.372476364,9.372471724,9.557589778,0.019751252,3600.183871,3600.19,4.64,9,9,6,"7,8,10,18,19,24"
9.521389091,9.521384026,9.522175658,8.31E-05,2893.764866,2893.77,5.065,8,8,6,"7,14,18,22,23,25"
9.138528015,9.138523215,9.642701316,0.055170632,3600.276066,3600.28,4.799999,8,8,6,"4,11,18,20,22,23"
9.809367273,9.809362548,9.810234206,8.89E-05,325.9328289,325.94,4.725,8,8,6,"3,4,6,7,18,25"
8.966701879,8.966696259,9.603909619,0.071064452,3600.121006,3600.12,5.619999936,11,11,6,"3,6,8,10,19,25"
9.055663598,9.055658148,9.647255417,0.06532902,3600.220301,3600.22,5.449990922,11,11,6,"2,4,6,10,19,20"
