	total_value	model_obj_value	model_obj_bound	gap	gurobi_time	python_time	operation_time	number_of_jobs_arrived	number_of_job_processed	number_of_initial_fires	initial_fire_node_IDs
0	9.69	9.69	9.86	0.02	0.90	0.90	3.57	3	5	1	6
0	9.76	9.76	9.95	0.02	1.49	1.49	3.71	3	5	1	2
0	10.43	10.43	10.62	0.02	0.26	0.26	3.08	3	3	1	14
0	10.73	10.73	10.73	0.00	0.05	0.05	2.24	1	1	1	15
0	9.22	9.22	9.39	0.02	4.64	4.65	3.81	5	7	1	7
0	10.58	10.58	10.70	0.01	0.11	0.11	2.62	1	2	1	4
0	9.65	9.65	9.84	0.02	1.08	1.08	4.13	3	4	1	11
0	9.33	9.33	9.84	0.06	600.05	600.05	3.63	5	7	1	8
0	10.42	10.42	10.62	0.02	0.09	0.09	2.62	1	3	1	3
0	10.46	10.46	10.66	0.02	0.21	0.21	3.93	3	3	1	25
0	10.19	10.19	10.39	0.02	1.91	1.92	3.00	4	4	2	"10,18"
0	10.22	10.22	10.22	0.00	0.88	0.88	3.93	4	4	2	"3,25"
0	10.31	10.31	10.51	0.02	0.29	0.29	2.62	4	4	2	"3,14"
0	9.59	9.59	9.78	0.02	438.56	438.56	4.33	7	7	2	"19,22"
0	9.45	9.45	9.64	0.02	4.66	4.66	3.43	6	6	2	"11,18"
0	9.66	9.66	9.85	0.02	0.71	0.71	3.43	4	5	2	"11,15"
0	10.25	10.25	10.44	0.02	0.93	0.93	2.62	4	4	2	"3,18"
0	10.48	10.48	10.64	0.02	0.16	0.17	2.57	3	3	2	"14,15"
0	9.30	9.30	9.66	0.04	600.00	600.00	3.83	6	7	2	"8,20"
0	9.87	9.87	10.07	0.02	63.31	63.31	3.89	6	6	2	"14,19"
0	9.62	9.62	9.73	0.01	0.84	0.84	3.40	5	5	3	"6,10,23"
0	9.58	9.58	9.75	0.02	0.99	1.00	3.43	6	6	3	"6,14,15"
0	9.62	9.62	9.82	0.02	306.18	306.18	4.86	7	7	3	"19,23,24"
0	8.51	8.51	8.84	0.04	600.02	600.02	6.26	9	9	3	"4,7,25"
0	9.69	9.69	9.87	0.02	0.33	0.33	4.09	5	5	3	"2,15,22"
0	9.14	9.14	9.62	0.05	600.00	600.00	3.93	8	8	3	"8,14,15"
0	9.35	9.35	9.53	0.02	78.23	78.27	3.83	7	7	3	"2,18,20"
0	9.06	9.06	9.24	0.02	40.92	40.94	4.57	6	7	3	"2,6,24"
0	8.43	8.43	9.30	0.10	600.03	600.03	6.26	10	10	3	"2,19,24"
0	10.00	10.00	10.19	0.02	3.60	3.60	3.48	5	5	3	"14,22,23"
0	10.01	10.01	10.01	0.00	102.65	102.65	4.86	5	5	4	"4,20,23,25"
0	8.60	8.60	9.27	0.08	600.01	600.02	6.05	10	10	4	"2,4,14,25"
0	8.18	8.18	9.51	0.16	600.05	600.05	5.21	10	10	4	"8,14,22,23"
0	8.47	8.47	9.28	0.10	600.01	600.01	5.65	10	10	4	"2,10,15,19"
0	8.93	8.93	9.11	0.02	479.68	479.68	5.05	8	8	4	"10,11,14,20"
0	8.75	8.75	9.11	0.04	600.03	600.03	4.52	8	8	4	"3,11,18,24"
0	8.66	8.66	8.83	0.02	140.44	140.44	4.43	8	9	4	"3,4,7,20"
0	9.31	9.31	9.78	0.05	600.02	600.02	5.13	8	8	4	"3,14,19,24"
0	8.66	8.66	8.83	0.02	220.31	220.31	4.63	9	9	4	"3,7,18,23"
0	7.74	7.74	9.50	0.23	600.02	600.02	6.98	12	11	4	"4,8,14,25"
0	7.93	7.93	9.15	0.15	600.03	600.03	6.45	11	11	5	"6,14,15,19,22"
0	7.56	7.56	8.67	0.15	600.03	600.03	6.94	12	12	5	"7,15,19,20,24"
0	8.61	8.61	9.19	0.07	600.03	600.03	4.74	9	9	5	"4,6,10,14,20"
0	8.41	8.41	9.25	0.10	600.02	600.02	6.21	10	10	5	"6,10,14,15,25"
0	8.68	8.68	9.25	0.07	600.02	600.02	5.12	9	9	5	"2,10,14,20,22"
0	7.48	7.48	9.10	0.22	600.04	600.04	6.45	12	11	5	"6,14,19,22,23"
0	8.96	8.96	9.14	0.02	10.04	10.04	3.90	8	8	5	"2,4,10,11,22"
0	7.94	7.94	9.18	0.16	600.01	600.01	5.12	10	10	5	"3,6,10,22,24"
0	9.68	9.68	9.87	0.02	101.39	101.39	3.91	6	6	5	"4,15,18,22,23"
0	7.15	7.15	8.75	0.22	600.01	600.01	6.95	13	12	5	"2,3,7,14,19"
0	7.63	7.63	8.89	0.17	600.03	600.03	6.96	12	12	6	"6,7,11,14,19,20"
0	7.95	7.95	9.20	0.16	600.02	600.02	5.50	10	10	6	"4,6,11,15,23,24"
0	7.30	7.30	9.41	0.29	600.00	600.00	6.34	13	11	6	"4,8,15,19,20,24"
0	7.90	7.90	9.09	0.15	600.02	600.02	6.33	11	10	6	"6,8,11,15,20,24"
0	7.47	7.47	9.25	0.24	600.04	600.04	6.64	12	11	6	"2,3,8,18,19,25"
0	7.88	7.88	8.76	0.11	600.02	600.02	4.83	11	10	6	"2,4,7,11,15,18"
0	7.39	7.39	8.93	0.21	600.01	600.01	5.92	12	9	6	"4,7,10,11,22,25"
0	7.62	7.62	8.91	0.17	600.02	600.02	6.75	12	11	6	"6,7,11,18,20,25"
0	7.28	7.28	9.03	0.24	600.02	600.02	6.05	13	10	6	"3,4,8,11,14,25"
0	7.31	7.31	9.46	0.29	600.02	600.02	6.15	12	10	6	"8,18,20,22,23,24"
0	6.95	6.95	8.60	0.24	600.03	600.03	6.34	13	10	7	"4,7,8,14,15,20,23"
0	6.71	6.71	8.97	0.34	600.01	600.01	6.44	14	12	7	"8,10,11,14,19,24,25"
0	8.30	8.30	9.73	0.17	600.00	600.00	6.30	11	11	7	"3,10,14,15,19,22,24"
0	7.11	7.11	8.80	0.24	600.03	600.03	6.73	12	11	7	"7,8,10,11,15,22,25"
0	7.82	7.82	8.99	0.15	600.03	600.03	6.72	11	11	7	"3,10,11,14,15,20,24"
0	6.84	6.84	8.88	0.30	600.02	600.02	6.86	13	11	7	"3,6,8,18,20,22,25"
0	6.95	6.95	9.21	0.33	600.03	600.03	6.56	14	12	7	"2,8,10,14,18,20,23"
0	8.44	8.44	8.92	0.06	600.02	600.02	4.94	9	9	7	"3,7,8,10,11,15,23"
0	7.11	7.11	8.94	0.26	600.01	600.01	6.76	13	12	7	"3,6,8,14,19,20,24"
0	9.08	9.08	9.74	0.07	600.00	600.01	5.55	8	8	7	"10,15,20,22,23,24,25"
0	6.96	6.96	8.66	0.24	600.03	600.03	7.04	13	12	8	"2,3,7,8,14,20,22,25"
0	7.13	7.13	9.16	0.28	600.03	600.03	6.44	13	11	8	"2,4,8,10,15,20,23,24"
0	6.35	6.35	8.44	0.33	600.03	600.03	6.95	15	13	8	"7,8,14,15,19,22,23,25"
0	7.17	7.17	8.77	0.22	600.02	600.02	6.56	12	10	8	"2,3,6,7,20,22,23,24"
0	7.35	7.35	8.98	0.22	600.09	600.10	6.11	13	11	8	"2,4,10,18,20,22,23,24"
0	6.85	6.85	8.58	0.25	600.02	600.02	7.61	14	13	8	"2,3,7,10,14,15,19,20"
0	6.49	6.49	8.51	0.31	600.02	600.03	6.13	15	11	8	"3,4,7,15,18,19,20,25"
0	7.66	7.66	8.73	0.14	600.02	600.02	5.13	11	10	8	"2,3,4,6,7,10,20,24"
0	7.45	7.45	8.80	0.18	600.03	600.03	4.81	11	10	8	"2,7,8,10,11,15,22,24"
0	6.49	6.49	8.67	0.34	600.01	600.01	6.13	15	11	8	"4,7,8,11,15,19,23,25"
0	6.84	6.84	8.61	0.26	600.02	600.02	6.26	14	11	9	"2,4,6,7,11,15,19,24,25"
0	6.03	6.03	8.56	0.42	600.05	600.06	6.52	16	12	9	"4,7,8,11,15,19,22,23,25"
0	6.53	6.53	8.56	0.31	600.02	600.03	6.77	14	12	9	"3,7,8,10,15,18,20,23,25"
0	6.87	6.87	8.83	0.28	600.07	600.07	7.06	14	13	9	"3,4,6,10,15,19,20,23,25"
0	6.51	6.51	8.72	0.34	600.03	600.04	6.75	15	12	9	"2,3,4,6,8,10,14,20,23"
0	6.56	6.56	8.69	0.32	600.03	600.03	6.86	14	12	9	"2,3,8,11,14,22,23,24,25"
0	6.39	6.39	9.04	0.41	600.02	600.02	6.82	15	13	9	"2,8,10,14,19,20,22,23,24"
0	6.38	6.38	8.68	0.36	600.03	600.03	6.23	15	11	9	"2,4,7,8,11,14,22,24,25"
0	7.12	7.12	8.68	0.22	600.02	600.03	7.04	13	12	9	"2,10,11,14,15,19,20,24,25"
0	6.36	6.36	8.60	0.35	600.02	600.03	6.34	15	11	9	"4,6,7,8,15,18,22,24,25"
0	5.91	5.91	8.56	0.45	600.02	600.03	7.32	16	14	10	"2,4,10,11,14,15,18,19,22,23"
0	7.06	7.06	8.73	0.24	600.01	600.01	6.27	13	10	10	"2,3,4,6,8,11,18,20,24,25"
0	6.67	6.67	8.75	0.31	600.01	600.01	7.25	14	13	10	"6,7,11,14,15,18,19,20,22,25"
0	5.94	5.94	8.55	0.44	600.02	600.04	6.91	16	13	10	"2,4,10,11,15,19,20,22,24,25"
0	6.39	6.39	8.62	0.35	600.01	600.02	7.06	15	12	10	"3,4,6,7,10,18,20,23,24,25"
0	6.35	6.35	8.79	0.38	600.03	600.03	7.04	15	12	10	"2,4,6,7,8,10,11,14,22,25"
0	6.84	6.84	8.74	0.28	600.02	600.02	6.26	14	11	10	"2,3,4,8,11,14,15,19,24,25"
0	6.68	6.68	8.78	0.31	600.04	600.04	6.46	14	11	10	"2,3,4,6,11,14,18,19,20,25"
0	6.47	6.47	8.68	0.34	600.02	600.03	6.34	15	11	10	"2,3,4,6,7,8,15,19,23,25"
0	6.49	6.49	8.72	0.34	600.03	600.03	6.13	15	11	10	"4,6,7,8,11,15,19,20,23,24"
0	6.46	6.46	8.50	0.32	600.02	600.03	7.13	15	13	11	"2,7,8,10,15,18,19,20,23,24,25"
0	6.46	6.46	8.62	0.33	600.01	600.02	6.95	15	13	11	"2,7,8,10,11,15,18,19,20,24,25"
0	6.49	6.49	8.61	0.33	600.02	600.02	6.13	15	11	11	"4,7,8,11,14,15,18,19,20,23,25"
0	6.38	6.38	8.65	0.36	600.04	600.04	6.23	15	11	11	"2,3,4,6,8,11,15,18,22,23,25"
0	6.43	6.43	8.64	0.34	600.02	600.03	6.86	15	12	11	"2,3,4,6,7,10,11,14,15,23,25"
0	5.65	5.65	8.52	0.51	600.03	600.04	7.32	17	14	11	"3,4,6,7,8,10,14,15,19,22,23"
0	5.64	5.64	8.39	0.49	600.04	600.04	6.41	17	13	11	"3,4,7,10,11,14,15,18,20,22,24"
0	6.14	6.14	8.56	0.39	600.06	600.08	6.86	16	13	11	"2,3,4,7,10,15,18,19,20,24,25"
0	7.04	7.04	8.72	0.24	600.03	600.03	5.34	12	11	11	"2,3,6,7,8,10,11,15,18,22,23"
0	6.49	6.49	8.65	0.33	600.03	600.03	6.13	15	11	11	"4,6,7,8,11,14,15,18,19,20,24"
0	5.95	5.95	8.60	0.45	600.03	600.03	6.61	16	13	12	"2,3,6,7,10,11,19,20,22,23,24,25"
0	6.23	6.23	8.60	0.38	600.02	600.03	7.13	15	13	12	"3,6,7,11,15,18,19,20,22,23,24,25"
0	5.64	5.64	8.50	0.51	600.02	600.04	7.22	17	14	12	"3,4,6,7,8,10,14,18,20,22,23,24"
0	5.83	5.83	8.61	0.48	600.03	600.03	6.91	16	13	12	"2,3,6,8,10,11,15,18,19,20,22,24"
0	6.58	6.58	8.73	0.33	600.03	600.03	7.02	15	13	12	"2,3,4,6,7,8,10,11,14,15,19,20"
0	6.74	6.74	8.69	0.29	600.04	600.04	6.75	14	12	12	"3,6,7,8,11,14,15,18,19,20,23,25"
0	6.32	6.32	8.62	0.36	600.03	600.03	6.86	15	12	12	"2,3,4,6,8,11,14,15,22,23,24,25"
0	5.65	5.65	8.45	0.49	600.01	600.01	7.21	17	14	12	"3,4,6,7,8,10,14,19,20,22,23,25"
0	5.65	5.65	8.45	0.50	600.05	600.05	7.22	17	14	12	"3,4,7,8,10,11,14,18,19,20,22,23"
0	5.65	5.65	8.52	0.51	600.03	600.03	6.50	17	13	12	"2,3,4,7,10,11,15,18,19,22,23,24"
0	6.00	6.00	8.52	0.42	600.04	600.04	6.36	16	12	13	"2,3,4,6,7,8,14,15,18,19,22,23,25"
0	6.02	6.02	8.60	0.43	600.02	600.02	6.45	16	12	13	"2,3,4,6,7,8,11,14,18,19,22,24,25"
0	5.65	5.65	8.50	0.50	600.03	600.03	6.50	17	13	13	"2,4,6,7,8,10,11,14,19,20,22,23,24"
0	6.28	6.28	8.63	0.37	600.02	600.04	6.26	15	11	13	"2,3,4,6,7,8,11,14,15,20,22,23,25"
0	6.45	6.45	8.61	0.34	600.03	600.03	7.13	15	13	13	"2,3,6,7,8,10,11,14,15,18,19,24,25"
0	5.65	5.65	8.63	0.53	600.02	600.02	7.23	17	14	13	"3,4,8,10,11,14,15,19,20,22,23,24,25"
0	6.03	6.03	8.55	0.42	600.01	600.05	6.56	16	12	13	"3,4,6,7,8,11,14,15,18,19,20,22,24"
0	5.64	5.64	8.40	0.49	600.02	600.05	7.23	17	14	13	"2,3,4,7,8,10,15,18,19,22,23,24,25"
0	6.00	6.00	8.54	0.42	600.00	600.00	6.36	16	12	13	"3,4,6,7,11,14,15,18,19,20,22,23,25"
0	6.03	6.03	8.55	0.42	600.01	600.01	6.56	16	12	13	"2,3,4,7,8,11,14,18,20,22,23,24,25"
0	5.62	5.62	8.44	0.50	600.03	600.03	6.80	17	13	14	"2,4,6,8,10,11,14,15,18,19,20,22,24,25"
0	5.84	5.84	8.45	0.45	600.02	600.02	6.93	16	13	14	"2,3,4,6,7,8,10,11,15,18,20,22,23,25"
0	6.34	6.34	8.54	0.35	600.04	600.05	7.36	15	13	14	"3,6,7,8,10,11,14,15,18,19,20,23,24,25"
0	6.26	6.26	8.62	0.38	600.04	600.04	7.06	15	12	14	"2,3,4,6,7,8,10,11,15,18,20,23,24,25"
0	5.65	5.65	8.43	0.49	600.04	600.04	6.41	17	13	14	"2,3,4,6,8,10,11,14,15,18,19,20,22,25"
0	5.95	5.95	8.60	0.45	600.03	600.03	6.74	16	12	14	"2,3,4,6,7,8,11,18,19,20,22,23,24,25"
0	5.64	5.64	8.45	0.50	600.03	600.04	7.22	17	14	14	"2,3,4,6,7,8,10,14,18,19,20,22,23,24"
0	5.65	5.65	8.37	0.48	600.02	600.02	7.21	17	14	14	"3,4,7,8,10,11,14,15,19,20,22,23,24,25"
0	5.65	5.65	8.44	0.50	600.01	600.01	6.43	17	13	14	"2,3,4,6,8,10,11,14,15,19,20,22,23,24"
0	5.65	5.65	8.40	0.49	600.02	600.02	6.41	17	13	14	"2,4,7,8,10,11,14,15,18,19,20,22,23,25"
0	5.91	5.91	8.49	0.44	600.02	600.02	7.00	16	13	15	"2,3,6,7,10,11,14,15,18,19,20,22,23,24,25"
0	5.65	5.65	8.43	0.49	600.07	600.10	6.43	17	13	15	"2,3,4,7,10,11,14,15,18,19,20,22,23,24,25"
