node_id,x_coordinate,y_coordinate
1,0.5,0.5
2,1.5,0.5
3,2.5,0.5
4,3.5,0.5
5,4.5,0.5
6,5.5,0.5
7,6.5,0.5
8,0.5,1.5
9,1.5,1.5
10,2.5,1.5
11,3.5,1.5
12,4.5,1.5
13,5.5,1.5
14,6.5,1.5
15,0.5,2.5
16,1.5,2.5
17,2.5,2.5
18,3.5,2.5
19,4.5,2.5
20,5.5,2.5
21,6.5,2.5
22,0.5,3.5
23,1.5,3.5
24,2.5,3.5
25,3.5,3.5
26,4.5,3.5
27,5.5,3.5
28,6.5,3.5
29,0.5,4.5
30,1.5,4.5
31,2.5,4.5
32,3.5,4.5
33,4.5,4.5
34,5.5,4.5
35,6.5,4.5
36,0.5,5.5
37,1.5,5.5
38,2.5,5.5
39,3.5,5.5
40,4.5,5.5
41,5.5,5.5
42,6.5,5.5
43,0.5,6.5
44,1.5,6.5
45,2.5,6.5
46,3.5,6.5
47,4.5,6.5
48,5.5,6.5
49,6.5,6.5
