"V1" "V2" "V3"
"1" 1 2 0.5
"2" 1 3 1
"3" 1 4 1.5
"4" 1 7 0.7071068
"5" 1 8 1.118034
"6" 1 9 1.5811388
"7" 1 11 1
"8" 1 12 1.118034
"9" 1 14 1.8027756
"10" 1 16 1.5
"11" 1 17 1.5811388
"12" 1 18 1.8027756
"13" 1 19 2.1213203
"14" 1 20 2.5
"15" 1 22 2.0615528
"16" 1 23 2.236068
"17" 1 25 2.8284271
"18" 2 1 0.5
"19" 2 3 0.5
"20" 2 4 1
"21" 2 5 1.5
"22" 2 7 0.5
"23" 2 8 0.7071068
"24" 2 9 1.118034
"25" 2 11 1.118034
"26" 2 12 1
"27" 2 13 1.118034
"28" 2 14 1.4142136
"29" 2 16 1.5811388
"30" 2 17 1.5
"31" 2 18 1.5811388
"32" 2 19 1.8027756
"33" 2 20 2.1213203
"34" 2 21 2.0615528
"35" 2 22 2
"36" 2 23 2.0615528
"37" 2 25 2.5
"38" 3 1 1
"39" 3 2 0.5
"40" 3 4 0.5
"41" 3 5 1
"42" 3 7 0.7071068
"43" 3 8 0.5
"44" 3 9 0.7071068
"45" 3 11 1.4142136
"46" 3 12 1.118034
"47" 3 13 1
"48" 3 14 1.118034
"49" 3 16 1.8027756
"50" 3 17 1.5811388
"51" 3 18 1.5
"52" 3 19 1.5811388
"53" 3 20 1.8027756
"54" 3 21 2.236068
"55" 3 22 2.0615528
"56" 3 23 2
"57" 3 25 2.236068
"58" 4 1 1.5
"59" 4 2 1
"60" 4 3 0.5
"61" 4 5 0.5
"62" 4 7 1.118034
"63" 4 8 0.7071068
"64" 4 9 0.5
"65" 4 11 1.8027756
"66" 4 12 1.4142136
"67" 4 13 1.118034
"68" 4 14 1
"69" 4 16 2.1213203
"70" 4 17 1.8027756
"71" 4 18 1.5811388
"72" 4 19 1.5
"73" 4 20 1.5811388
"74" 4 21 2.5
"75" 4 22 2.236068
"76" 4 23 2.0615528
"77" 4 25 2.0615528
"78" 5 2 1.5
"79" 5 3 1
"80" 5 4 0.5
"81" 5 7 1.5811388
"82" 5 8 1.118034
"83" 5 9 0.7071068
"84" 5 11 2.236068
"85" 5 12 1.8027756
"86" 5 14 1.118034
"87" 5 16 2.5
"88" 5 17 2.1213203
"89" 5 18 1.8027756
"90" 5 19 1.5811388
"91" 5 20 1.5
"92" 5 22 2.5
"93" 5 23 2.236068
"94" 5 25 2
"95" 7 1 0.7071068
"96" 7 2 0.5
"97" 7 3 0.7071068
"98" 7 4 1.118034
"99" 7 5 1.5811388
"100" 7 8 0.5
"101" 7 9 1
"102" 7 11 0.7071068
"103" 7 12 0.5
"104" 7 13 0.7071068
"105" 7 14 1.118034
"106" 7 16 1.118034
"107" 7 17 1
"108" 7 18 1.118034
"109" 7 19 1.4142136
"110" 7 20 1.8027756
"111" 7 21 1.5811388
"112" 7 22 1.5
"113" 7 23 1.5811388
"114" 7 25 2.1213203
"115" 8 1 1.118034
"116" 8 2 0.7071068
"117" 8 3 0.5
"118" 8 4 0.7071068
"119" 8 5 1.118034
"120" 8 7 0.5
"121" 8 9 0.5
"122" 8 11 1.118034
"123" 8 12 0.7071068
"124" 8 13 0.5
"125" 8 14 0.7071068
"126" 8 16 1.4142136
"127" 8 17 1.118034
"128" 8 18 1
"129" 8 19 1.118034
"130" 8 20 1.4142136
"131" 8 21 1.8027756
"132" 8 22 1.5811388
"133" 8 23 1.5
"134" 8 25 1.8027756
"135" 9 1 1.5811388
"136" 9 2 1.118034
"137" 9 3 0.7071068
"138" 9 4 0.5
"139" 9 5 0.7071068
"140" 9 7 1
"141" 9 8 0.5
"142" 9 11 1.5811388
"143" 9 12 1.118034
"144" 9 13 0.7071068
"145" 9 14 0.5
"146" 9 16 1.8027756
