"node_id" "x_coordinate" "y_coordinate" "node_value_at_start" "node_degradation_rate" "node_amelioration_rate" "node_state" "fire_size_now" "fire_time_start" "fire_time_max" "fire_time_end" "value_now" "value_degradation_rate"
"1" 1 0.5 0.5 0.4 0.4 0.4 0 0 0 2.5 5 0.4 0.08
"2" 2 0.5 1.5 0.4 0.4 0.4 0 0 0 2.5 5 0.4 0.08
"3" 3 0.5 2.5 0.4 0.4 0.4 0 0 0 2.5 5 0.4 0.08
"4" 4 0.5 3.5 0.4 0.4 0.4 0 0 0 2.5 5 0.4 0.08
"5" 5 0.5 4.5 NA NA NA 5 0 0 NA NA NA NA
"6" 6 1.5 0.5 0.8 0.8 0.2 0 0 0 1.25 6.25 0.8 0.128
"7" 7 1.5 1.5 0.8 0.8 0.2 1 0 0 1.25 6.25 0.8 0.128
"8" 8 1.5 2.5 0.8 1 0.1 0 0 0 1 11 0.8 0.0727272727272727
"9" 9 1.5 3.5 0 0 0.1 4 0 0 Inf Inf 0 0
"10" 10 1.5 4.5 0.8 0.8 0.2 1 0 0 1.25 6.25 0.8 0.128
"11" 11 2.5 0.5 0.6 0.8 0.2 1 0 0 1.25 6.25 0.6 0.096
"12" 12 2.5 1.5 0 0 0.1 4 0 0 Inf Inf 0 0
"13" 13 2.5 2.5 NA NA NA 5 0 0 NA NA NA NA
"14" 14 2.5 3.5 1 1 0.1 0 0 0 1 11 1 0.0909090909090909
"15" 15 2.5 4.5 0.4 0.8 0.2 0 0 0 1.25 6.25 0.4 0.064
"16" 16 3.5 0.5 0 0 0.2 4 0 0 Inf Inf 0 0
"17" 17 3.5 1.5 0 0 0.2 4 0 0 Inf Inf 0 0
"18" 18 3.5 2.5 1 1 0.1 0 0 0 1 11 1 0.0909090909090909
"19" 19 3.5 3.5 1 1 0.1 0 0 0 1 11 1 0.0909090909090909
"20" 20 3.5 4.5 0.4 0.8 0.2 0 0 0 1.25 6.25 0.4 0.064
"21" 21 4.5 0.5 NA NA NA 5 0 0 NA NA NA NA
"22" 22 4.5 1.5 0.6 0.6 0.3 1 0 0 1.66666666666667 5 0.6 0.12
"23" 23 4.5 2.5 0.6 0.6 0.3 0 0 0 1.66666666666667 5 0.6 0.12
"24" 24 4.5 3.5 0.4 0.6 0.3 0 0 0 1.66666666666667 5 0.4 0.08
"25" 25 4.5 4.5 0.4 0.8 0.2 0 0 0 1.25 6.25 0.4 0.064
