total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.64632525774789,121.64632525774789,122.0,0.0029074017772648176,0.01533818244934082,0.02,0.02,0.02,0.02,0.06,24.0,1,1,1,2,1,7
121.49905454545454,121.49905454545454,122.0,0.0041230399398544115,0.015151023864746094,0.02,0.01,18.07,0.02,18.1,24.0,1,1,1,2,1,16
121.0820217681049,121.0820217681049,122.0,0.007581457746495252,0.013670921325683594,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,1,1,1,2,1,10
121.90717117117117,121.90717117117117,122.0,0.0007614714371354465,0.015021085739135742,0.02,0.03,0.16,0.02,0.21,24.0,1,1,1,2,1,2
121.44079113180521,121.44079113180521,122.0,0.004604786110029967,0.014672040939331055,0.01,0.01,0.02,0.01,0.04,24.0,1,1,1,2,1,8
121.37769550589826,121.37769550589826,122.0,0.005127008644446542,0.014178037643432617,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,1,1,1,2,1,12
121.72151351351351,121.72151351351351,122.0,0.0022878986503529486,0.015598058700561523,0.02,0.03,18.06,0.02,18.11,24.0,1,1,1,2,1,4
121.0968047836945,121.0968047836945,122.0,0.00745845621541221,0.013698101043701172,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,1,1,1,2,1,19
121.50215640471859,121.50215640471859,122.0,0.004097405428946573,0.01385498046875,0.01,0.03,18.06,0.01,18.1,24.0,1,1,1,2,1,15
121.11992854451555,121.11992854451555,122.0,0.007266116039368365,0.014744997024536133,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,1,1,1,2,1,17
121.74991419141915,121.74991419141915,122.0,0.0020540943313327995,0.014072895050048828,0.01,0.01,0.08,0.01,0.09999999999999999,24.0,1,1,1,2,1,6
121.37478547854786,121.37478547854786,122.0,0.005151107118229581,0.014518022537231445,0.01,0.02,18.06,0.01,18.09,24.0,1,1,1,2,1,24
121.22665234681483,121.22665234681483,122.0,0.006379353370022253,0.014101028442382812,0.01,0.03,18.07,0.01,18.110000000000003,24.0,1,1,1,2,1,22
121.23243166124576,121.23243166124576,122.0,0.006331377901410293,0.013590097427368164,0.01,0.03,18.05,0.01,18.090000000000003,24.0,1,1,1,2,1,14
121.23243166124576,121.23243166124576,122.0,0.006331377901410293,0.014063119888305664,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,1,1,1,2,1,18
121.46143842650352,121.46143842650352,122.0,0.004434012806643686,0.01384592056274414,0.01,0.03,0.02,0.01,0.060000000000000005,24.0,1,1,1,2,1,9
121.37027212815347,121.37027212815347,122.0,0.005188485292194155,0.014007091522216797,0.01,0.04,18.06,0.01,18.11,24.0,1,1,1,2,1,25
120.93984567725975,120.93984567725975,122.0,0.008765963912087131,0.013131141662597656,0.01,0.03,0.37,0.01,0.41000000000000003,24.0,2,2,2,2,2,"8,16"
120.61012716714401,120.61012716714401,122.0,0.01152368267492058,0.01316690444946289,0.01,0.03,0.07,0.01,0.11,24.0,2,2,2,2,2,"12,14"
121.62868468468469,121.62868468468469,122.0,0.0030528597450340585,0.012537956237792969,0.01,0.03,0.13,0.01,0.17,24.0,2,2,2,2,2,"2,4"
