total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.6463253,121.6463252,121.6463252,0,0.083436966,0.08,0.047140452,1,1,1,2,1,7
121.4990545,121.4990544,121.5227651,0.000195151,0.730448008,0.73,0.1,1,1,1,2,1,16
121.0820218,121.0820216,121.0820216,0,0.080513954,0.08,0.137436854,1,1,1,2,1,10
121.9071712,121.9071711,121.9071711,0,0.083117008,0.08,0.033333333,1,1,1,2,1,2
121.4407911,121.4407911,121.4407911,0,0.081641912,0.08,0.074535599,1,1,1,2,1,8
121.3776955,121.3776954,121.3776954,0,0.081656933,0.08,0.074535599,1,1,1,2,1,12
121.7215135,121.7215134,121.7346308,0.000107765,0.700911999,0.7,0.1,1,1,1,2,1,4
119.6796593,119.6796592,121.1564526,0.012339552,3.067107201,3.07,0.171040092,1,1,2,2,1,19
121.5021564,121.5021563,121.5021563,0,0.084216118,0.08,0.149071198,1,1,1,2,1,15
121.1199285,121.1199284,121.1638308,0.000362471,0.700289965,0.7,0.105409255,1,1,1,2,1,17
121.7499142,121.7499142,121.7499142,0,0.080796003,0.08,0.033333333,1,1,1,2,1,6
121.3747855,121.3747853,121.3747853,0,0.082620144,0.08,0.166666667,1,1,1,2,1,24
121.2266523,121.2266522,121.2266522,0,0.080224991,0.08,0.137436854,1,1,1,2,1,22
120.7345881,120.7345879,121.2759421,0.004483837,0.34763813,0.35,0.176871153,1,1,2,2,2,14
121.2324317,121.2324315,121.2324315,0,0.081034899,0.08,0.120185043,1,1,1,2,1,18
121.4614384,121.4614383,121.4614383,0,0.081454992,0.08,0.105409255,1,1,1,2,1,9
121.3702721,121.3702719,121.3702719,0,0.081067801,0.08,0.188561808,1,1,1,2,1,25
120.9398457,120.9398456,120.9837919,0.000363374,0.698275089,0.7,0.1,2,2,2,2,2,"8,16"
120.6101272,120.610127,120.610127,0,0.081674099,0.08,0.120185043,2,2,2,2,2,"12,14"
121.6286847,121.6286846,121.6286846,0,0.081297874,0.08,0.1,2,2,2,2,2,"2,4"
121.1396028,121.1396027,121.1396027,0,0.081586123,0.08,0.120185043,2,2,2,2,2,"2,14"
120.6938701,120.69387,120.69387,0,0.081773996,0.08,0.120185043,2,2,2,2,2,"9,14"
121.1484817,121.1484815,121.191159,0.000352274,0.699939966,0.7,0.149071198,2,2,2,2,2,"7,15"
120.7345881,120.7345879,120.7345879,0,0.081996202,0.08,0.149071198,2,2,2,2,2,"14,15"
121.0165974,121.0165972,121.0165972,0,0.082574129,0.08,0.188561808,2,2,2,2,2,"7,25"
120.8110633,120.8110631,120.885411,0.000615406,0.690315962,0.69,0.188561808,2,2,2,2,2,"8,25"
120.9539452,120.9539451,120.9539451,0,0.080443144,0.08,0.120185043,2,2,2,2,2,"4,18"
121.4714277,121.4714276,121.4714276,0,0.079441071,0.08,0.1,2,2,2,2,2,"4,6"
120.9765665,120.9765664,121.0303924,0.000444929,0.69769907,0.7,0.137436854,2,2,2,2,2,"6,22"
120.7450576,120.7450574,120.847407,0.000847651,0.700186014,0.7,0.188561808,2,2,2,2,2,"24,25"
120.3523602,120.3523601,120.4399323,0.000727632,0.692579985,0.69,0.120185043,2,2,2,2,2,"14,17"
121.0270997,121.0270996,121.0270996,0,0.082212925,0.08,0.105409255,2,2,2,2,2,"2,17"
120.8317106,120.8317104,120.8317104,0,0.08236289,0.08,0.188561808,2,2,2,2,2,"9,25"
121.1829519,121.1829518,121.2231768,0.000331936,1.168525219,1.17,0.105409255,2,2,2,2,2,"4,9"
120.5607197,120.5607196,120.5607196,0,0.082993984,0.08,0.105409255,2,2,2,2,2,"8,17"
120.7257069,120.7257068,120.7992876,0.000609488,0.691236019,0.69,0.137436854,2,2,2,2,2,"16,22"
120.9429475,120.9429474,120.9429474,0,0.08344698,0.08,0.149071198,2,2,2,2,2,"8,15"
120.3303645,120.3303644,120.4533207,0.001021823,0.698765039,0.7,0.12389964,3,3,3,2,2,"7,16,18"
119.8362286,119.8362284,120.1876594,0.002932594,0.688102007,0.69,0.196875987,3,3,3,2,2,"9,22,24"
120.1476842,120.147684,120.3179405,0.00141706,0.691823959,0.69,0.174535599,3,3,3,2,2,"6,10,24"
119.8407331,119.8407329,120.1517645,0.002595375,0.701498032,0.7,0.15205176,3,3,3,2,2,"4,10,18"
118.0948805,118.09488,120.3871669,0.019410553,1.01457715,1.01,0.496428571,3,3,3,2,2,"4,9,17"
120.2528835,120.2528834,120.4912753,0.001982421,0.714546919,0.71,0.15205176,3,3,3,2,2,"6,8,22"
120.4685946,120.4685944,120.7651672,0.002461827,1.762537003,1.76,0.141202266,3,3,3,2,2,"4,6,22"
118.3209207,118.3209205,120.7271526,0.020336488,0.751785994,0.75,0.202149837,3,3,4,2,1,"2,7,17"
119.9755617,119.9755616,120.0868642,0.000927711,0.390462875,0.39,0.141421356,3,3,3,2,2,"7,14,19"
120.4318737,120.4318736,120.7185667,0.002380542,0.697609901,0.7,0.141202266,3,3,3,2,2,"4,8,16"
120.9044655,120.9044653,121.1318697,0.00188086,0.383817196,0.38,0.133333333,3,3,3,2,2,"2,4,9"
119.849158,119.8491579,120.0449088,0.00163331,0.386906862,0.39,0.14821537,3,3,3,2,2,"9,12,19"
119.0235962,119.023596,120.5666456,0.012964233,0.690145016,0.69,0.149071198,3,3,3,2,2,"6,14,15"
120.8207225,120.8207224,121.0435219,0.00184405,0.693619013,0.69,0.133333333,3,3,3,2,2,"2,4,12"
119.9512385,119.9512384,120.0944017,0.001193513,0.38980794,0.39,0.12389964,3,3,3,2,2,"7,14,17"
120.4644959,120.4644957,120.6091632,0.001200914,0.699740887,0.7,0.195355823,3,3,3,2,2,"2,18,25"
120.0004336,120.0004334,120.225227,0.001873273,0.705354929,0.71,0.130693654,3,3,3,2,2,"8,9,18"
119.5843314,119.5843313,120.0552175,0.003937692,0.386425972,0.39,0.163542653,3,3,3,2,2,"4,17,19"
119.847706,119.8477058,120.0264586,0.0014915,0.697211027,0.7,0.195355823,3,3,3,2,2,"8,10,25"
120.5696317,120.5696316,120.7647309,0.001618146,0.385541916,0.39,0.130693654,3,3,3,2,2,"4,6,14"
118.7318719,118.7318717,119.8761996,0.009637917,0.694714069,0.69,0.201074918,4,4,4,2,2,"7,16,18,24"
117.9834832,117.983483,119.1813339,0.0101527,0.695589066,0.7,0.182745415,4,4,4,2,2,"9,10,14,18"
117.9824053,117.9824051,119.3570988,0.011651685,0.398203135,0.4,0.193254026,4,4,4,2,2,"10,15,16,19"
117.8190478,117.8190476,118.9963212,0.009992218,0.704571009,0.7,0.214882037,4,4,4,2,2,"10,14,19,24"
119.1371872,119.137187,119.7076932,0.004788649,0.697869062,0.7,0.193254026,4,4,4,2,2,"6,10,15,18"
118.3590952,118.359095,119.4636015,0.009331827,0.393410921,0.39,0.22658736,4,4,4,2,2,"9,18,22,24"
118.4307905,118.4307903,119.328707,0.007581784,0.715208054,0.72,0.218718427,4,4,4,2,2,"9,10,22,24"
119.3857185,119.3857184,120.2880763,0.007558341,0.740123034,0.74,0.15205176,4,4,4,2,2,"4,6,16,22"
117.1675454,117.1675452,119.6890483,0.021520491,2.15182209,2.15,0.21747712,4,4,5,2,2,"9,10,15,16"
117.7909892,117.790989,119.5327784,0.014787119,0.707663059,0.71,0.161659947,4,4,4,2,2,"7,8,10,22"
118.6950324,118.6950321,119.9200901,0.010321055,0.694195032,0.69,0.275467066,4,4,4,2,2,"2,17,24,25"
118.5741924,118.5741922,119.6016248,0.008664893,0.386596918,0.39,0.193254026,4,4,4,2,2,"2,10,14,18"
119.5289614,119.5289613,120.4619945,0.007805917,0.713613987,0.71,0.159920693,4,4,4,2,2,"2,6,16,22"
118.8108086,118.8108084,119.9856132,0.00988803,0.392117977,0.39,0.227614237,4,4,4,2,2,"2,9,17,25"
117.0708775,117.0708773,118.8860185,0.015504635,0.402593851,0.4,0.23570226,4,4,4,2,2,"10,17,19,25"
118.2920538,118.2920536,119.4203901,0.009538565,0.418497086,0.42,0.18226108,4,4,4,2,2,"7,8,10,17"
119.7693601,119.7693599,120.355849,0.004896821,0.393200159,0.39,0.208943851,4,4,4,2,2,"2,6,15,19"
119.0131736,119.0131733,119.5762927,0.004731571,0.398483038,0.4,0.218180544,4,4,4,2,2,"4,10,14,25"
117.5748053,117.5748051,120.1091631,0.021555281,5.206253052,5.21,0.190081972,4,4,5,2,2,"6,7,15,17"
120.2911452,120.2911451,120.6734238,0.003177946,0.391046047,0.39,0.133333333,4,4,4,2,2,"2,4,6,14"
117.3747031,117.3747029,119.4955922,0.01806939,0.498504162,0.5,0.207061145,5,5,5,2,2,"2,6,12,19,22"
117.5541567,117.5541565,119.383086,0.015558187,0.752302885,0.75,0.234456292,5,5,5,2,2,"2,6,10,19,24"
117.4594245,117.4594243,119.1479128,0.014375079,0.434584856,0.43,0.186460012,5,5,5,2,2,"2,16,17,18,22"
118.2781756,118.2781754,119.2434876,0.008161372,0.496809959,0.5,0.21747712,5,5,5,2,2,"7,9,10,15,24"
115.9949309,115.9949305,118.6798559,0.02314692,5.202505112,5.2,0.374001656,5,5,5,2,2,"12,14,19,24,25"
115.9002966,115.9002964,118.8719103,0.025639399,4.683937073,4.68,0.27189592,5,6,6,2,2,"6,10,18,22,25"
118.0929822,118.092982,119.3916643,0.010997116,0.919427872,0.92,0.22658736,5,5,5,2,2,"6,12,15,22,25"
