total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,clustering_gurobi_time,clustering_python_time,total_python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.64632525774789,121.64632525774789,122.0,0.0029074017772648176,0.0009670257568359375,0.0,0.015333890914916992,0.02,0.02,0.047140452079105444,1,1,1,2,1,7
121.49905454545456,121.49905454545456,121.5229090909091,0.00019633523523111788,0.020684003829956055,0.02,0.009239912033081055,0.01,0.03,0.09999999999994102,1,1,1,2,1,16
121.08202176810492,121.08202176810492,121.14104762431062,0.00048748654295464975,0.02164912223815918,0.02,0.03073406219482422,0.03,0.05,0.13743685418721796,1,1,1,2,1,10
121.90717117117121,121.90717117117121,121.90869295525033,1.248313831333084e-05,0.020704030990600586,0.02,0.03422808647155762,0.03,0.05,0.03333333333324262,1,1,1,2,1,2
121.4407911318052,121.4407911318052,122.0,0.004604786110030085,0.0008668899536132812,0.0,0.011764049530029297,0.01,0.01,0.07453559924999098,1,1,1,2,1,8
121.37769550589823,121.37769550589823,122.0,0.005127008644446778,0.0008389949798583984,0.0,0.025990962982177734,0.03,0.03,0.07453559924999098,1,1,1,2,1,12
121.72151351351351,121.72151351351351,121.73477477477478,0.00010894755477872852,0.021030902862548828,0.02,0.03277397155761719,0.03,0.05,0.10000000000000075,1,1,1,2,1,4
121.09680478369451,121.09680478369451,121.15645259287737,0.0004925630307868736,0.025002002716064453,0.03,0.035166025161743164,0.04,0.07,0.14142135623727015,1,1,1,2,1,19
121.50215640471859,121.50215640471859,121.536689528361,0.0002842181954975027,0.020724058151245117,0.02,0.03249788284301758,0.03,0.05,0.14907119849995,1,1,1,2,1,15
121.11992854451557,121.11992854451557,122.0,0.007266116039368128,0.0008687973022460938,0.0,0.025156021118164062,0.03,0.03,0.10540925533894807,1,1,1,2,1,17
121.74991419141928,121.74991419141928,121.75388783344471,3.263773984416211e-05,0.020721912384033203,0.02,0.01155400276184082,0.01,0.03,0.03333333333328525,1,1,1,2,1,6
121.37478547854786,121.37478547854786,121.42287890327495,0.00039623900909456516,0.024578094482421875,0.02,0.01862812042236328,0.02,0.04,0.16666666666662522,1,1,1,2,1,24
121.22665234681484,121.22665234681484,121.27637847951375,0.00041019142025506986,0.025445938110351562,0.03,0.024975061416625977,0.03,0.06,0.13743685418721796,1,1,1,2,1,22
121.23243166124578,121.23243166124578,121.27594212451987,0.00035890118409624987,0.024873018264770508,0.03,0.030783891677856445,0.03,0.06,0.12018504251542694,1,1,1,2,1,14
121.23243166124576,121.23243166124576,122.0,0.006331377901410293,0.0007970333099365234,0.0,0.03451108932495117,0.03,0.03,0.12018504251546602,1,1,1,2,1,18
121.46143842650355,121.46143842650355,122.0,0.004434012806643451,0.0008189678192138672,0.0,0.027662038803100586,0.03,0.03,0.10540925533894807,1,1,1,2,1,9
121.37027212815349,121.37027212815349,121.42452813582547,0.00044702880467049303,0.020885944366455078,0.02,0.03368496894836426,0.03,0.05,0.1885618083163756,1,1,1,2,1,25
120.93984567725978,120.93984567725978,120.98379193293218,0.00036337284396467917,0.022401094436645508,0.02,0.028322935104370117,0.03,0.05,0.09999999999996234,2,2,2,2,2,"8,16"
120.61012716714407,120.61012716714407,120.67599629150862,0.0005461326168180776,0.025665998458862305,0.03,0.028011083602905273,0.03,0.06,0.12018504251542694,2,2,2,2,2,"12,14"
121.62868468468474,121.62868468468474,121.64346773002511,0.00012154242544585478,0.02049994468688965,0.02,0.026987075805664062,0.03,0.05,0.10000000000000075,2,2,2,2,2,"2,4"
121.139602832417,121.139602832417,121.1846350797702,0.00037173844308786846,0.028733015060424805,0.03,0.0317840576171875,0.03,0.06,0.12018504251542694,2,2,2,2,2,"2,14"
120.6938700877493,120.6938700877493,120.7643441326988,0.0005839074088705133,0.02567601203918457,0.03,0.005478858947753906,0.01,0.04,0.12018504251542694,2,2,2,2,2,"9,14"
121.14848166246661,121.14848166246661,121.19115901833382,0.0003522731385616238,0.02591395378112793,0.03,0.023714065551757812,0.02,0.05,0.14907119849995,2,2,2,2,2,"7,15"
120.73458806596437,120.73458806596437,120.81263165288087,0.000646406205269475,0.028504133224487305,0.03,0.012351036071777344,0.01,0.04,0.14907119849995,2,2,2,2,2,"14,15"
121.01659738590138,121.01659738590138,122.0,0.008126179675691248,0.0008471012115478516,0.0,0.023957014083862305,0.02,0.02,0.18856180831641467,2,2,2,2,2,"7,25"
120.81106325995871,120.81106325995871,120.88541097784855,0.0006154048800138122,0.021632909774780273,0.02,0.024888038635253906,0.03,0.05,0.1885618083163756,2,2,2,2,2,"8,25"
120.9539451747593,120.9539451747593,121.01071689929466,0.00046936645558224763,0.029448986053466797,0.03,0.029210805892944336,0.03,0.06,0.12018504251542694,2,2,2,2,2,"4,18"
121.4714277049328,121.4714277049328,121.48866260821947,0.0001418844218127006,0.02437901496887207,0.02,0.016727209091186523,0.02,0.04,0.09999999999996234,2,2,2,2,2,"4,6"
120.976566538234,120.976566538234,122.0,0.008459766143574203,0.0008108615875244141,0.0,0.026948928833007812,0.03,0.03,0.13743685418725704,2,2,2,2,2,"6,22"
120.74505760670135,120.74505760670135,120.84740703910042,0.0008476490419379761,0.020395994186401367,0.02,0.008301019668579102,0.01,0.03,0.1885618083163756,2,2,2,2,2,"24,25"
120.35236020576136,120.35236020576136,120.43993225778947,0.0007276305331976005,0.025817155838012695,0.03,0.030737876892089844,0.03,0.06,0.12018504251542694,2,2,2,2,2,"14,17"
121.0270997156868,121.0270997156868,121.07268308851992,0.00037663773601288056,0.029970169067382812,0.03,0.030827999114990234,0.03,0.06,0.10540925533890899,2,2,2,2,2,"2,17"
120.83171055465702,120.83171055465702,122.0,0.009668732156320125,0.0007898807525634766,0.0,0.018157958984375,0.02,0.02,0.18856180831641467,2,2,2,2,2,"9,25"
121.18295194001705,121.18295194001705,121.22317678295369,0.000331934833181391,0.025104999542236328,0.03,0.020843029022216797,0.02,0.05,0.10540925533890899,2,2,2,2,2,"4,9"
120.5607196763208,120.5607196763208,120.62487297529267,0.0005321243863184597,0.03235912322998047,0.03,0.01654982566833496,0.02,0.05,0.10540925533890899,2,2,2,2,2,"8,17"
120.7257068922694,120.7257068922694,120.79928757042285,0.0006094864138514273,0.029816150665283203,0.03,0.021457195281982422,0.02,0.05,0.13743685418721796,2,2,2,2,2,"16,22"
120.94294753652379,120.94294753652379,120.99753351301788,0.00045133658147045874,0.03149700164794922,0.03,0.02139115333557129,0.02,0.05,24.0,2,2,2,2,2,"8,15"
119.94758427557932,119.94758427557932,120.45315782423455,0.004214953987682494,0.039093971252441406,0.04,0.033200979232788086,0.03,0.07,24.0,3,3,3,2,2,"7,16,18"
119.83622858529473,119.83622858529473,119.83622858529473,0.0,0.048536062240600586,0.05,0.023276090621948242,0.02,0.07,24.0,3,3,3,2,2,"9,22,24"
119.67576285098748,119.67576285098748,120.31781436103027,0.005364925150652531,0.0316319465637207,0.03,0.02379298210144043,0.02,0.05,24.0,3,3,3,2,2,"6,10,24"
119.7460527053295,119.7460527053295,119.88389519177552,0.00115112342604913,0.05396103858947754,0.05,0.029847145080566406,0.03,0.08,24.0,3,3,3,2,2,"4,10,18"
119.69239250654113,119.69239250654113,120.38712900974393,0.005804349705557415,0.03266596794128418,0.03,0.009078025817871094,0.01,0.04,24.0,3,3,3,2,2,"4,9,17"
120.16432766449695,120.16432766449695,120.48587982336959,0.002675936903424614,0.039788007736206055,0.04,0.03832721710205078,0.04,0.08,24.0,3,3,3,2,2,"6,8,22"
120.0368504988975,120.0368504988975,120.76504108773322,0.0060663919938687355,0.034336090087890625,0.03,0.027595996856689453,0.03,0.06,24.0,3,3,3,2,2,"4,6,22"
119.8003774180253,119.8003774180253,120.72715257849273,0.007735995331914414,0.03365898132324219,0.03,0.017066001892089844,0.02,0.05,24.0,3,3,3,2,2,"2,7,17"
119.59723835407632,119.59723835407632,120.08685855720222,0.00409390893856879,0.03741192817687988,0.04,0.020267009735107422,0.02,0.06,24.0,3,3,3,2,2,"7,14,19"
120.24621604770755,120.24621604770755,120.30083948949058,0.0004542632905917343,0.03979611396789551,0.04,0.028671979904174805,0.03,0.07,24.0,3,3,3,2,2,"4,8,16"
120.86063762578024,120.86063762578024,121.13179803664733,0.0022435791850335452,0.04268598556518555,0.04,0.02127695083618164,0.02,0.06,24.0,3,3,3,2,2,"2,4,9"
119.56380182132756,119.56380182132756,120.01766166940294,0.0037959636709580047,0.04010319709777832,0.04,0.0333709716796875,0.03,0.07,24.0,3,3,3,2,2,"9,12,19"
120.24700787795149,120.24700787795149,120.51843918986495,0.002257281213923909,0.03977203369140625,0.04,0.02011418342590332,0.02,0.06,24.0,3,3,3,2,2,"6,14,15"
119.89316806937151,119.89316806937151,121.04352189701386,0.009594823843313081,0.029644012451171875,0.03,0.03288102149963379,0.03,0.06,0.14120226591654728,3,3,3,2,2,"2,4,12"
119.95123850399892,119.95123850399892,120.09439173090847,0.0011934285022390542,0.03815317153930664,0.04,0.016290903091430664,0.02,0.06,24.0,3,3,3,2,2,"7,14,17"
120.12400765586361,120.12400765586361,120.51847418558837,0.003283827583032788,0.03960895538330078,0.04,0.0076160430908203125,0.01,0.05,24.0,3,3,3,2,2,"2,18,25"
119.88124207141476,119.88124207141476,120.20457898134157,0.0026971434758257928,0.041435956954956055,0.04,0.03397703170776367,0.03,0.07,24.0,3,3,3,2,2,"8,9,18"
118.96752479229332,118.96752479229332,120.05490362686653,0.009140131615511726,0.041136980056762695,0.04,0.028645038604736328,0.03,0.07,24.0,3,3,3,2,2,"4,17,19"
119.50721772335673,119.50721772335673,120.0263479470417,0.004343923602059628,0.04632997512817383,0.05,0.025326013565063477,0.03,0.08,24.0,3,3,3,2,2,"8,10,25"
120.34724635011978,120.34724635011978,120.71703241466689,0.0030726591240094942,0.041023969650268555,0.04,0.020025968551635742,0.02,0.06,24.0,3,3,3,2,2,"4,6,14"
118.89962752513757,118.89962752513757,119.3219145089085,0.00355162579194499,0.0810391902923584,0.08,0.03238105773925781,0.03,0.11,24.0,4,4,4,2,2,"7,16,18,24"
117.9164137743345,117.9164137743345,119.17615517524041,0.010683342213211903,0.053698062896728516,0.05,0.005563974380493164,0.01,0.060000000000000005,24.0,4,4,4,2,2,"9,10,14,18"
117.53187817782413,117.53187817782413,119.35709883645809,0.015529579607946304,0.03443717956542969,0.03,0.02903890609741211,0.03,0.06,24.0,4,4,4,2,2,"10,15,16,19"
117.7164411645264,117.7164411645264,118.15809470028188,0.003751842405243977,0.13441109657287598,0.13,0.0061969757080078125,0.01,0.14,24.0,4,4,4,2,2,"10,14,19,24"
119.137187223208,119.137187223208,119.47791842150089,0.0028599902871176007,0.05841708183288574,0.06,0.02448296546936035,0.02,0.08,24.0,4,4,4,2,2,"6,10,15,18"
117.81395719194842,117.81395719194842,118.7018025641124,0.007535994828842374,0.06900715827941895,0.07,0.006711006164550781,0.01,0.08,24.0,4,4,4,2,2,"9,18,22,24"
117.66354729880761,117.66354729880761,118.55139267097152,0.007545628128218996,0.06543397903442383,0.07,0.0062749385833740234,0.01,0.08,24.0,4,4,4,2,2,"9,10,22,24"
119.20194140798908,119.20194140798908,120.28795017864232,0.00911066344914791,0.039804935455322266,0.04,0.02765798568725586,0.03,0.07,24.0,4,4,4,2,2,"4,6,16,22"
118.20943830947893,118.20943830947893,119.68903197999487,0.012516713484775049,0.046898841857910156,0.05,0.004050016403198242,0.0,0.05,24.0,4,4,4,2,2,"9,10,15,16"
117.55242142648929,117.55242142648929,119.53272922873654,0.016846167677504006,0.047007083892822266,0.05,0.04146313667297363,0.04,0.09,24.0,4,4,4,2,2,"7,8,10,22"
118.3331978374318,118.3331978374318,119.87192121484209,0.013003311036385726,0.04723405838012695,0.05,0.017387866973876953,0.02,0.07,24.0,4,4,4,2,2,"2,17,24,25"
117.76425075602174,117.76425075602174,118.20607002709485,0.003751726591361368,0.22776293754577637,0.23,0.006276845932006836,0.01,0.24000000000000002,0.19325402634361655,4,4,4,2,2,"2,10,14,18"
119.20194140798932,119.20194140798932,120.46186835911789,0.010569684824312081,0.037448883056640625,0.04,0.0279998779296875,0.03,0.07,24.0,4,4,4,2,2,"2,6,16,22"
119.08445127175904,119.08445127175904,119.98549987515403,0.007566467274041861,0.04854178428649902,0.05,0.006506919860839844,0.01,0.060000000000000005,24.0,4,4,4,2,2,"2,9,17,25"
117.91102302499337,117.91102302499337,118.36557597813636,0.0038550505413445764,0.06276297569274902,0.06,0.027248144149780273,0.03,0.09,24.0,4,4,4,2,2,"10,17,19,25"
