total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,run_time_original_mip,run_time_callback_mip,run_time_total,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.6463253,121.6463253,122,0.002907402,0.029631853,0.03,0.08,0.03,0.11,24,1,1,1,2,1,7
121.4990545,121.4990545,122,0.00412304,0.02346015,0.02,6.68,0.02,6.7,24,1,1,1,2,1,16
121.0820218,121.0820218,122,0.007581458,0.022663116,0.02,0.08,0.02,0.1,24,1,1,1,2,1,10
121.9071712,121.9071712,122,0.000761471,0.022901058,0.02,0.08,0.02,0.1,24,1,1,1,2,1,2
121.4407911,121.4407911,122,0.004604786,0.022635221,0.02,0.08,0.02,0.1,24,1,1,1,2,1,8
121.3776955,121.3776955,122,0.005127009,0.022985935,0.02,0.08,0.02,0.1,24,1,1,1,2,1,12
121.7215135,121.7215135,122,0.002287899,0.022725821,0.02,6.67,0.02,6.69,24,1,1,1,2,1,4
121.0968048,121.0968048,122,0.007458456,0.023663998,0.02,6.35,0.02,6.37,24,1,1,1,2,1,19
121.5021564,121.5021564,122,0.004097405,0.022844791,0.02,0.08,0.02,0.1,24,1,1,1,2,1,15
121.1199285,121.1199285,122,0.007266116,0.028985977,0.03,6.66,0.03,6.69,24,1,1,1,2,1,17
121.7499142,121.7499142,122,0.002054094,0.022877216,0.02,0.08,0.02,0.1,24,1,1,1,2,1,6
121.3747855,121.3747855,122,0.005151107,0.023061037,0.02,0.08,0.02,0.1,24,1,1,1,2,1,24
121.2266523,121.2266523,122,0.006379353,0.022635937,0.02,0.08,0.02,0.1,24,1,1,1,2,1,22
121.2324317,121.2324317,122,0.006331378,0.022830963,0.02,6.35,0.02,6.37,24,1,1,1,2,1,14
121.2324317,121.2324317,122,0.006331378,0.022927046,0.02,0.08,0.02,0.1,24,1,1,1,2,1,18
121.4614384,121.4614384,122,0.004434013,0.02334094,0.02,0.08,0.02,0.1,24,1,1,1,2,1,9
121.3702721,121.3702721,122,0.005188485,0.022539854,0.02,0.08,0.02,0.1,24,1,1,1,2,1,25
120.9398457,120.9398457,122,0.008765964,0.025699854,0.03,12.66,0.03,12.69,24,2,2,2,2,2,"8,16"
120.6101272,120.6101272,122,0.011523683,0.026088953,0.03,0.08,0.03,0.11,24,2,2,2,2,2,"12,14"
121.6286847,121.6286847,122,0.00305286,0.020232916,0.02,0.08,0.02,0.1,24,2,2,2,2,2,"2,4"
121.1396028,121.1396028,122,0.007102526,0.020621777,0.02,0.08,0.02,0.1,24,2,2,2,2,2,"2,14"
120.6938701,120.6938701,122,0.010821841,0.025632858,0.03,0.08,0.03,0.11,24,2,2,2,2,2,"9,14"
121.1484817,121.1484817,122,0.007028717,0.028345108,0.03,12.68,0.03,12.71,24,2,2,2,2,2,"7,15"
120.7345881,120.7345881,122,0.01048094,0.025470972,0.03,0.08,0.03,0.11,24,2,2,2,2,2,"14,15"
121.0165974,121.0165974,122,0.00812618,0.027925968,0.03,0.08,0.03,0.11,24,2,2,2,2,2,"7,25"
120.8110633,120.8110633,122,0.00984129,0.025595903,0.03,12.67,0.03,12.7,24,2,2,2,2,2,"8,25"
120.9539452,120.9539452,122,0.008648373,0.020605087,0.02,0.08,0.02,0.1,24,2,2,2,2,2,"4,18"
121.4714277,121.4714277,122,0.004351413,0.02027607,0.02,0.08,0.02,0.1,24,2,2,2,2,2,"4,6"
120.9765665,120.9765665,122,0.008459766,0.020445824,0.02,12.67,0.02,12.69,24,2,2,2,2,2,"6,22"
120.7450576,120.7450576,122,0.010393323,0.025020838,0.03,12.68,0.03,12.71,24,2,2,2,2,2,"24,25"
120.3523602,120.3523602,122,0.013690133,0.026853085,0.03,12.67,0.03,12.7,24,2,2,2,2,2,"14,17"
121.0270997,121.0270997,122,0.008038698,0.025887012,0.03,0.08,0.03,0.11,24,2,2,2,2,2,"2,17"
120.8317106,120.8317106,122,0.009668732,0.02553606,0.03,0.08,0.03,0.11,24,2,2,2,2,2,"9,25"
121.1829519,121.1829519,122,0.006742269,0.020443916,0.02,13.12,0.02,13.14,24,2,2,2,2,2,"4,9"
120.5607197,120.5607197,122,0.011938219,0.026869059,0.03,0.08,0.03,0.11,24,2,2,2,2,2,"8,17"
120.7257069,120.7257069,122,0.010555276,0.025420904,0.03,12.67,0.03,12.7,24,2,2,2,2,2,"16,22"
120.9429475,120.9429475,122,0.008740092,0.025969028,0.03,0.08,0.03,0.11,24,2,2,2,2,2,"8,15"
120.3303645,120.3303645,122,0.01387543,0.027488232,0.03,18.7,0.03,18.73,24,3,3,3,2,2,"7,16,18"
119.8362286,119.8362286,122,0.018056071,0.025974989,0.03,18.72,0.03,18.75,24,3,3,3,2,2,"9,22,24"
120.1476842,120.1476842,122,0.015416991,0.024662971,0.02,18.69,0.02,18.71,24,3,3,3,2,2,"6,10,24"
119.8407331,119.8407331,122,0.018017805,0.0245471,0.02,18.43,0.02,18.45,24,3,3,3,2,2,"4,10,18"
120.0637078,120.0637078,122,0.016127206,0.026926994,0.03,19,0.03,19.03,24,3,3,3,2,2,"4,9,17"
120.2528835,120.2528835,122,0.014528687,0.025712013,0.03,18.69,0.03,18.72,24,3,3,3,2,2,"6,8,22"
120.5336059,120.5336059,122,0.012165853,0.020678043,0.02,18.69,0.02,18.71,24,3,3,3,2,2,"4,6,22"
120.3727567,120.3727567,122,0.013518369,0.026077986,0.03,18.75,0.03,18.78,24,3,3,3,2,2,"2,7,17"
119.9755617,119.9755617,122,0.016873756,0.027492046,0.03,18.38,0.03,18.41,24,3,3,3,2,2,"7,14,19"
120.4318737,120.4318737,122,0.013020858,0.024647951,0.02,18.69,0.02,18.71,24,3,3,3,2,2,"4,8,16"
120.9044655,120.9044655,122,0.009061159,0.02050209,0.02,18.38,0.02,18.4,24,3,3,3,2,2,"2,4,9"
