total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.64632525774789,121.64632525774789,122.0,0.0029074017772648176,0.002399921417236328,0.0,0.047140452079105444,1,1,1,2,1,7
121.49905454545454,121.49905454545454,121.52276515514845,0.00019515056954650441,0.7042069435119629,0.7,24.0,1,1,1,2,1,16
121.08202176810488,121.08202176810488,122.0,0.00758145774649537,0.0018169879913330078,0.0,0.13743685418725704,1,1,1,2,1,10
121.90717117117119,121.90717117117119,122.0,0.0007614714371353299,0.0023140907287597656,0.0,0.03333333333333144,1,1,1,2,1,2
121.4407911318052,121.4407911318052,122.0,0.004604786110030085,0.0019910335540771484,0.0,0.07453559924999098,1,1,1,2,1,8
121.37769550589823,121.37769550589823,122.0,0.005127008644446778,0.0019609928131103516,0.0,0.07453559924999098,1,1,1,2,1,12
121.09178564166697,121.09178564166697,121.73477477477478,0.0053099318810156775,0.664283037185669,0.66,24.0,1,1,2,2,2,4
121.0968047836945,121.0968047836945,121.15645259287737,0.000492563030786991,0.3424050807952881,0.34,24.0,1,1,1,2,1,19
121.50215640471859,121.50215640471859,122.0,0.004097405428946573,0.0020182132720947266,0.0,0.14907119849998907,1,1,1,2,1,15
121.11992854451555,121.11992854451555,121.16383090067488,0.00036247012929173215,0.6885120868682861,0.69,24.0,1,1,1,2,1,17
121.74991419141918,121.74991419141918,122.0,0.0020540943313325653,0.002070903778076172,0.0,0.03333333333333144,1,1,1,2,1,6
121.37478547854786,121.37478547854786,122.0,0.005151107118229581,0.002318143844604492,0.0,0.1666666666666643,1,1,1,2,1,24
121.22665234681482,121.22665234681482,122.0,0.006379353370022371,0.001695871353149414,0.0,0.13743685418725704,1,1,1,2,1,22
121.23243166124576,121.23243166124576,121.27594212451987,0.00035890118409648443,0.3497459888458252,0.35,24.0,1,1,1,2,1,14
121.23243166124576,121.23243166124576,122.0,0.006331377901410293,0.001986980438232422,0.0,0.12018504251546602,1,1,1,2,1,18
121.46143842650355,121.46143842650355,122.0,0.004434012806643451,0.0022127628326416016,0.0,0.10540925533894807,1,1,1,2,1,9
121.37027212815349,121.37027212815349,122.0,0.005188485292194037,0.0017969608306884766,0.0,0.18856180831641467,1,1,1,2,1,25
120.93984567725977,120.93984567725977,120.98379193293218,0.0003633728439647967,0.6954898834228516,0.7,24.0,2,2,2,2,2,"8,16"
120.61012716714399,120.61012716714399,122.0,0.01152368267492082,0.0015869140625,0.0,0.12018504251546602,2,2,2,2,2,"12,14"
121.62868468468469,121.62868468468469,122.0,0.0030528597450340585,0.0017120838165283203,0.0,0.10000000000000142,2,2,2,2,2,"2,4"
121.13960283241693,121.13960283241693,122.0,0.007102525907843173,0.0017409324645996094,0.0,0.12018504251546602,2,2,2,2,2,"2,14"
120.69387008774929,120.69387008774929,122.0,0.010821841335447294,0.0024950504302978516,0.0,0.12018504251546602,2,2,2,2,2,"9,14"
121.14848166246648,121.14848166246648,121.1911590183338,0.0003522731385625626,0.6969380378723145,0.7,24.0,2,2,2,2,2,"7,15"
120.73458806596433,120.73458806596433,122.0,0.010480939673594616,0.001611948013305664,0.0,0.14907119849998907,2,2,2,2,2,"14,15"
121.01659738590138,121.01659738590138,122.0,0.008126179675691248,0.0018589496612548828,0.0,0.18856180831641467,2,2,2,2,2,"7,25"
120.8110632599587,120.8110632599587,120.88541097784855,0.0006154048800139298,0.6960968971252441,0.7,24.0,2,2,2,2,2,"8,25"
120.95394517475926,120.95394517475926,122.0,0.008648372930121145,0.0016160011291503906,0.0,0.12018504251546602,2,2,2,2,2,"4,18"
121.4714277049327,121.4714277049327,122.0,0.004351412550705058,0.0017189979553222656,0.0,0.10000000000000142,2,2,2,2,2,"4,6"
120.976566538234,120.976566538234,121.03039243828668,0.0004449283162262256,0.6956069469451904,0.7,24.0,2,2,2,2,2,"6,22"
120.74505760670134,120.74505760670134,120.8474070391004,0.0008476490419379762,0.6842820644378662,0.68,24.0,2,2,2,2,2,"24,25"
120.35236020576131,120.35236020576131,120.43993225778947,0.0007276305331979549,0.6894781589508057,0.69,24.0,2,2,2,2,2,"14,17"
121.02709971568675,121.02709971568675,122.0,0.008038697833780724,0.0016989707946777344,0.0,0.10540925533894807,2,2,2,2,2,"2,17"
120.83171055465702,120.83171055465702,122.0,0.009668732156320125,0.0018548965454101562,0.0,0.18856180831641467,2,2,2,2,2,"9,25"
118.97495194001704,118.97495194001704,121.2231767829537,0.01889662324948986,1.171907901763916,1.17,24.0,2,2,2,2,1,"4,9"
120.56071967632076,120.56071967632076,122.0,0.01193821940963355,0.001605987548828125,0.0,0.10540925533894807,2,2,2,2,2,"8,17"
120.72570689226937,120.72570689226937,120.79928757042285,0.0006094864138516629,0.6858410835266113,0.69,24.0,2,2,2,2,2,"16,22"
120.94294753652377,120.94294753652377,122.0,0.008740091795406291,0.0021829605102539062,0.0,0.14907119849998907,2,2,2,2,2,"8,15"
120.33036450493714,120.33036450493714,120.45332070540178,0.0010218218898489053,0.6994459629058838,0.7,24.0,3,3,3,2,2,"7,16,18"
119.83622858529472,119.83622858529472,120.18765939096761,0.002932592337239286,0.6976909637451172,0.7,24.0,3,3,3,2,2,"9,22,24"
120.14768418703883,120.14768418703883,120.31794048635848,0.0014170585182033274,0.7008340358734131,0.7,24.0,3,3,3,2,2,"6,10,24"
119.84073305354715,119.84073305354715,120.15176452360527,0.0025953735606668604,0.3927030563354492,0.39,24.0,3,3,3,2,2,"4,10,18"
118.09488048453258,118.09488048453258,120.3871669162233,0.019410548723921554,1.0139679908752441,1.01,24.0,3,3,3,2,2,"4,9,17"
120.25288354104617,120.25288354104617,120.49127528030976,0.0019824201486380163,0.7007830142974854,0.7,24.0,3,3,3,2,2,"6,8,22"
118.80853304243422,118.80853304243422,120.76516721306146,0.01646880169733599,1.6628599166870117,1.66,24.0,3,3,4,2,2,"4,6,22"
120.37275666920695,120.37275666920695,120.72715257849273,0.00294415380267223,0.7017040252685547,0.7,24.0,3,3,3,2,2,"2,7,17"
119.97556170268815,119.97556170268815,120.08686420737006,0.0009277098027490044,0.3835759162902832,0.38,24.0,3,3,3,2,2,"7,14,19"
