total_value,model_obj_value,model_obj_bound,gap,gurobi_time,python_time,operation_time,number_of_initial_fires,number_of_jobs_arrived,number_of_job_processed,number_of_vehicles,number_of_vehicles_used,initial_fire_node_IDs
121.64632525774789,121.64632525774789,122.0,0.0029074017772648176,0.0017938613891601562,0.0,0.047140452079105444,1,1,1,2,1,7
121.49905454545456,121.49905454545456,121.5229090909091,0.00019633523523111788,0.02387213706970215,0.02,0.09999999999991971,1,1,1,2,1,16
121.08202176810488,121.08202176810488,122.0,0.00758145774649537,0.0013670921325683594,0.0,0.13743685418725704,1,1,1,2,1,10
121.90717117117119,121.90717117117119,122.0,0.0007614714371353299,0.001547098159790039,0.0,0.03333333333333144,1,1,1,2,1,2
121.4407911318052,121.4407911318052,122.0,0.004604786110030085,0.0014421939849853516,0.0,0.07453559924999098,1,1,1,2,1,8
121.37769550589823,121.37769550589823,122.0,0.005127008644446778,0.0014920234680175781,0.0,0.07453559924999098,1,1,1,2,1,12
121.72151351351351,121.72151351351351,121.73477477477478,0.00010894755477872852,0.02936697006225586,0.03,0.09999999999991971,1,1,1,2,1,4
121.09680478369452,121.09680478369452,121.15645259287737,0.0004925630307867562,0.02119278907775879,0.02,0.14142135623723462,1,1,1,2,1,19
121.50215640471859,121.50215640471859,121.536689528361,0.0002842181954975027,0.021226882934570312,0.02,0.14907119849991446,1,1,1,2,1,15
121.11992854451557,121.11992854451557,121.16399013326959,0.0003637847981211854,0.022737979888916016,0.02,0.10540925533886636,1,1,1,2,1,17
121.74991419141918,121.74991419141918,122.0,0.0020540943313325653,0.00150299072265625,0.0,0.03333333333333144,1,1,1,2,1,6
121.37478547854786,121.37478547854786,121.42287890327495,0.00039623900909456516,0.02282094955444336,0.02,0.16666666666658259,1,1,1,2,1,24
121.22665234681482,121.22665234681482,122.0,0.006379353370022371,0.0013358592987060547,0.0,0.13743685418725704,1,1,1,2,1,22
121.23243166124578,121.23243166124578,121.27594212451987,0.00035890118409624987,0.027770042419433594,0.03,0.12018504251538431,1,1,1,2,1,14
121.23243166124576,121.23243166124576,122.0,0.006331377901410293,0.0014259815216064453,0.0,0.12018504251546602,1,1,1,2,1,18
121.46143842650355,121.46143842650355,121.48840200817892,0.0002219929388675116,0.02461099624633789,0.02,0.10540925533886636,1,1,1,2,1,9
121.37027212815349,121.37027212815349,122.0,0.005188485292194037,0.001341104507446289,0.0,0.18856180831641467,1,1,1,2,1,25
