node_id,x_coordinate,y_coordinate,value_at_start,value_degradation_rate,fire_degradation_rate,fire_amelioration_rate,neighborhood_list,state
1,0.5,0.5,1,1.5260063528732313,4.656000000000001,2.27,"[8, 2]",6
2,1.5,0.5,1,2.184304969647083,6.404,3.315,"[9, 1, 3]",1
3,2.5,0.5,10,17.889942312515675,5.264,2.71,"[10, 2, 4]",0
4,3.5,0.5,10,20.839225887004474,6.556,3.055,"[11, 3, 5]",1
5,4.5,0.5,10,22.170152284263963,6.48,3.37,"[12, 4, 6]",0
6,5.5,0.5,10,17.122640264026405,4.96,2.615,"[13, 5, 7]",0
7,6.5,0.5,10,23.240437570728027,7.164,3.44,"[14, 6]",0
8,0.5,1.5,1,2.3153742153549013,6.86,3.495,"[1, 15, 9]",0
9,1.5,1.5,1,1.817293583609373,5.416,2.735,"[2, 16, 8, 10]",0
10,2.5,1.5,10,18.40513960958735,5.264,2.83,"[3, 17, 9, 11]",0
11,3.5,1.5,2.6874256589669008,2.5164546559616343,3.1359999999999997,1.335,"[4, 18, 10, 12]",0
12,4.5,1.5,1,0.3195900439238653,0.856,0.51,"[5, 19, 11, 13]",1
13,5.5,1.5,1,0.3964306612053833,1.084,0.625,"[6, 20, 12, 14]",0
14,6.5,1.5,10,25.489288479738452,7.848,3.775,"[7, 21, 13]",0
15,0.5,2.5,7.277259669345768,14.74442551796543,5.796,3.115,"[8, 22, 16]",0
16,1.5,2.5,5.054696388206042,8.965384907621479,5.264,2.675,"[9, 23, 15, 17]",0
17,2.5,2.5,6.656129849743912,8.81960838863937,4.276,1.92,"[10, 24, 16, 18]",0
18,3.5,2.5,2.830530421158537,2.498067053640586,2.6039999999999996,1.335,"[11, 25, 17, 19]",0
19,4.5,2.5,1,1.3433198380566804,4.2,1.975,"[12, 26, 18, 20]",0
20,5.5,2.5,1,0.3536884154460719,0.932,0.57,"[13, 27, 19, 21]",0
21,6.5,2.5,10,14.036001850994909,4.428,2.055,"[14, 28, 20]",0
22,0.5,3.5,10,22.803640277913694,6.784,3.435,"[15, 29, 23]",0
23,1.5,3.5,4.6293593588469975,8.65950759381288,5.872,2.745,"[16, 30, 22, 24]",1
24,2.5,3.5,8.558225189559927,12.989261898653831,4.58,2.27,"[17, 31, 23, 25]",0
25,3.5,3.5,10,22.10513472292832,6.48,3.355,"[18, 32, 24, 26]",1
26,4.5,3.5,10,21.04763877381939,6.556,3.1,"[19, 33, 25, 27]",0
27,5.5,3.5,1.9528663597874514,1.6490541825339202,2.376,1.31,"[20, 34, 26, 28]",0
28,6.5,3.5,1,2.2586484667884266,7.088,3.315,"[21, 35, 27]",0
29,0.5,4.5,10,24.96670847518366,7.392,3.77,"[22, 36, 30]",0
30,1.5,4.5,0,0,0,0,"[23, 37, 29, 31]",5
31,2.5,4.5,1.6704880248283507,2.366964586291146,4.048,2.18,"[24, 38, 30, 32]",0
32,3.5,4.5,10,25.214048575921716,7.696,3.75,"[25, 39, 31, 33]",0
33,4.5,4.5,10,14.484169302605816,4.5040000000000004,2.135,"[26, 40, 32, 34]",0
34,5.5,4.5,1.4820173168220077,1.09945968858925,2.528,1.05,"[27, 41, 33, 35]",0
35,6.5,4.5,10,21.534885184020133,6.252,3.285,"[28, 42, 34]",1
36,0.5,5.5,10,23.719896545353777,7.316,3.51,"[29, 43, 37]",0
37,1.5,5.5,0,0,0,0,"[30, 44, 36, 38]",5
38,2.5,5.5,1.4319944471073756,0.2321566755158927,0.856,0.2,"[31, 45, 37, 39]",0
39,3.5,5.5,10,5.43735508802061,1.464,0.865,"[32, 46, 38, 40]",0
40,4.5,5.5,10,11.355014605647519,3.44,1.695,"[33, 47, 39, 41]",0
41,5.5,5.5,2.8796101410298514,4.905895175013027,4.96,2.595,"[34, 48, 40, 42]",0
42,6.5,5.5,10,26.32010943912449,7.696,4.0,"[35, 49, 41]",0
43,0.5,6.5,10,24.244999095677336,7.468,3.59,"[36, 44]",0
44,1.5,6.5,10,26.13998613998614,7.544,4.0,"[37, 43, 45]",0
45,2.5,6.5,10,15.439793281653747,4.656000000000001,2.31,"[38, 44, 46]",0
46,3.5,6.5,10,14.448703895719154,4.656000000000001,2.095,"[39, 45, 47]",1
47,4.5,6.5,3.783487024086077,2.0625928896783896,1.996,0.75,"[40, 46, 48]",1
48,5.5,6.5,1,1.7576525336091005,5.0360000000000005,2.7,"[41, 47, 49]",0
49,6.5,6.5,3.89576470512323,6.348344901829106,4.808,2.465,"[42, 48]",0
