node_id,x_coordinate,y_coordinate,value_at_start,value_degradation_rate,fire_degradation_rate,fire_amelioration_rate,neighborhood_list,state
1,0.5,0.5,0,0,0,0,"[8, 2]",5
2,1.5,0.5,0,0,0,0,"[9, 1, 3]",5
3,2.5,0.5,2.9978681464966392,6.651067936846124,6.708,3.315,"[10, 2, 4]",0
4,3.5,0.5,10,23.034169902452884,7.164,3.395,"[11, 3, 5]",0
5,4.5,0.5,2.775942239110679,6.736638382649923,7.164,3.67,"[12, 4, 6]",0
6,5.5,0.5,3.979533458178928,5.441160513047713,4.276,2.01,"[13, 5, 7]",0
7,6.5,0.5,2.3203530570969413,6.167889172907133,7.924,4.0,"[14, 6]",0
8,0.5,1.5,0,0,0,0,"[1, 15, 9]",5
9,1.5,1.5,0,0,0,0,"[2, 16, 8, 10]",5
10,2.5,1.5,2.386225207412765,5.152477384673305,6.176,3.32,"[3, 17, 9, 11]",0
11,3.5,1.5,2.8880322517643116,7.3178606895100025,7.924,3.725,"[4, 18, 10, 12]",0
12,4.5,1.5,3.6257140249805957,9.446589611742917,7.544,3.98,"[5, 19, 11, 13]",0
13,5.5,1.5,3.79041658497792,9.215116511102645,7.164,3.68,"[6, 20, 12, 14]",0
14,6.5,1.5,2.3997342458027133,5.8421314669074915,7.392,3.63,"[7, 21, 13]",0
15,0.5,2.5,1.2116559044035156,3.1147430165801704,7.468,3.92,"[8, 22, 16]",0
16,1.5,2.5,1.6397907645588212,3.4683108778202962,6.48,3.14,"[9, 23, 15, 17]",0
17,2.5,2.5,10,12.426552462526768,3.7439999999999998,1.86,"[10, 24, 16, 18]",0
18,3.5,2.5,3.4447565607613226,7.554620176929672,6.48,3.315,"[11, 25, 17, 19]",0
19,4.5,2.5,3.488806727551255,9.119735950328021,7.544,4.0,"[12, 26, 18, 20]",1
20,5.5,2.5,2.604167407700319,6.245820720008588,7.088,3.625,"[13, 27, 19, 21]",0
21,6.5,2.5,1,0.22864628820960697,0.47600000000000003,0.44,"[14, 28, 20]",0
22,0.5,3.5,2.8874314739505174,5.871110663699385,6.1,3.05,"[15, 29, 23]",0
23,1.5,3.5,10,3.701694915254237,1.008,0.585,"[16, 30, 22, 24]",1
24,2.5,3.5,10,4.40201136860516,1.6920000000000002,0.595,"[17, 31, 23, 25]",0
25,3.5,3.5,2.3855381151874875,5.543916481876785,6.936,3.495,"[18, 32, 24, 26]",0
26,4.5,3.5,1,0.9318552661903664,2.984,1.355,"[19, 33, 25, 27]",0
27,5.5,3.5,2.442830388113675,3.6743028455241995,4.732,2.205,"[20, 34, 26, 28]",0
28,6.5,3.5,1,0.15575221238938053,0.704,0.2,"[21, 35, 27]",1
29,0.5,4.5,2.7170732461855334,5.495588479506113,6.024,3.045,"[22, 36, 30]",0
30,1.5,4.5,3.1714430266409104,8.222132979142785,7.544,3.95,"[23, 37, 29, 31]",0
31,2.5,4.5,2.1296041513137247,5.503022723770284,7.62,3.91,"[24, 38, 30, 32]",0
32,3.5,4.5,3.8709700773783164,6.539307795060959,5.188,2.505,"[25, 39, 31, 33]",0
33,4.5,4.5,1,1.2095527728085866,3.82,1.77,"[26, 40, 32, 34]",0
34,5.5,4.5,3.8553965444894427,9.153760053087337,7.316,3.515,"[27, 41, 33, 35]",1
35,6.5,4.5,2.686043698221345,4.028434465112171,4.58,2.23,"[28, 42, 34]",1
36,0.5,5.5,3.4434330141825598,4.016743110261446,3.44,1.765,"[29, 43, 37]",0
37,1.5,5.5,8.043976732697438,1.3424385010859299,1.008,0.2,"[30, 44, 36, 38]",1
38,2.5,5.5,5.3796580226688535,0.8721566794326777,0.856,0.2,"[31, 45, 37, 39]",0
39,3.5,5.5,1.838773071514451,4.562537620789051,7.772,3.645,"[32, 46, 38, 40]",0
40,4.5,5.5,1.6616297792209838,3.0996777517897853,5.492,2.825,"[33, 47, 39, 41]",0
41,5.5,5.5,8.45252642083214,11.967199753045943,3.9719999999999995,2.2,"[34, 48, 40, 42]",0
42,6.5,5.5,3.0744639969810317,7.281569914673899,7.392,3.485,"[35, 49, 41]",0
43,0.5,6.5,3.160512102882974,0.46399007467856423,0.552,0.2,"[36, 44]",0
44,1.5,6.5,-1,0,0,0,"[37, 43, 45]",4
45,2.5,6.5,-1,0,0,0,"[38, 44, 46]",4
46,3.5,6.5,1.6914235522103116,3.0443171069026063,5.264,2.735,"[39, 45, 47]",0
47,4.5,6.5,1.3908515273686946,2.9884613360606846,6.176,3.295,"[40, 46, 48]",0
48,5.5,6.5,2.475440997045001,5.936714720165975,7.392,3.55,"[41, 47, 49]",0
49,6.5,6.5,3.7063290155822934,6.551779295561917,5.5680000000000005,2.59,"[42, 48]",0
