node_id,x_coordinate,y_coordinate,value_at_start,value_degradation_rate,fire_degradation_rate,fire_amelioration_rate,neighborhood_list,state
1,0.5,0.5,3.7213354051391043,5.2247280267338985,3.896,2.195,"[8, 2]",6
2,1.5,0.5,10,8.098607888631092,2.148,1.3,"[9, 1, 3]",0
3,2.5,0.5,10,8.64450474898236,2.3,1.385,"[10, 2, 4]",0
4,3.5,0.5,1,2.409397329483941,7.544,3.54,"[11, 3, 5]",0
5,4.5,0.5,1.4044325184477793,3.450978178877292,7.164,3.74,"[12, 4, 6]",0
6,5.5,0.5,2.055406845757237,2.755083402104811,3.82,2.065,"[13, 5, 7]",0
7,6.5,0.5,3.95309565455303,1.872057498514762,1.464,0.7,"[14, 6]",0
8,0.5,1.5,3.0135915221098935,6.6484889971140175,6.48,3.345,"[1, 15, 9]",0
9,1.5,1.5,10,3.046875,0.78,0.5,"[2, 16, 8, 10]",1
10,2.5,1.5,10,10.386391405097955,3.2119999999999997,1.535,"[3, 17, 9, 11]",0
11,3.5,1.5,1.0800654229043154,2.5306255205336474,7.088,3.5,"[4, 18, 10, 12]",0
12,4.5,1.5,1.4337720959653923,2.596334133580103,5.34,2.74,"[5, 19, 11, 13]",0
13,5.5,1.5,3.8157785292982735,2.130143560798087,1.996,0.775,"[6, 20, 12, 14]",0
14,6.5,1.5,3.3279524629737742,1.9329678164356445,1.7679999999999998,0.865,"[7, 21, 13]",0
15,0.5,2.5,3.5140068819928367,4.780203697602573,4.276,1.995,"[8, 22, 16]",0
16,1.5,2.5,3.692405719820756,8.492793555876757,7.088,3.405,"[9, 23, 15, 17]",0
17,2.5,2.5,3.839857726529936,4.268465520568939,3.6679999999999997,1.595,"[10, 24, 16, 18]",0
18,3.5,2.5,3.463212815196292,3.3566687145208345,2.756,1.495,"[11, 25, 17, 19]",0
19,4.5,2.5,2.3823480824544667,1.9385974095852656,2.528,1.2,"[12, 26, 18, 20]",1
20,5.5,2.5,3.3924068170800403,4.421651109986015,3.9719999999999995,1.94,"[13, 27, 19, 21]",1
21,6.5,2.5,3.2799083477057396,2.5600427807944874,2.452,1.145,"[14, 28, 20]",0
22,0.5,3.5,2.3021113926607017,0.38419342447052773,1.008,0.2,"[15, 29, 23]",0
23,1.5,3.5,1.5131410114117854,2.4548711905040377,4.656000000000001,2.49,"[16, 30, 22, 24]",0
24,2.5,3.5,1.3603292902344943,2.702049138324249,5.644,3.065,"[17, 31, 23, 25]",1
25,3.5,3.5,3.789892176105001,3.331125275933054,2.376,1.395,"[18, 32, 24, 26]",0
26,4.5,3.5,3.1252042994541074,2.4709913556222993,2.376,1.185,"[19, 33, 25, 27]",1
27,5.5,3.5,2.287837869478744,1.0892944338836377,1.616,0.675,"[20, 34, 26, 28]",0
28,6.5,3.5,2.5707796535591383,3.5933869869467543,4.048,2.135,"[21, 35, 27]",1
29,0.5,4.5,1.850969075870882,4.5323363440977325,7.24,3.7,"[22, 36, 30]",1
30,1.5,4.5,1.1257596538872496,2.5738719717376264,7.088,3.375,"[23, 37, 29, 31]",0
31,2.5,4.5,1.7785427849256672,3.962634873694268,6.556,3.375,"[24, 38, 30, 32]",0
32,3.5,4.5,3.923717781175461,1.5781143143569125,1.3119999999999998,0.58,"[25, 39, 31, 33]",1
33,4.5,4.5,1,0.5306218617226729,1.8439999999999999,0.745,"[26, 40, 32, 34]",0
34,5.5,4.5,3.3255189274802532,1.4380108008129224,1.3119999999999998,0.645,"[27, 41, 33, 35]",0
35,6.5,4.5,7.97757732623415,6.725648567314131,2.6799999999999997,1.23,"[28, 42, 34]",1
36,0.5,5.5,1.7031070782185687,4.345002572778634,7.468,3.875,"[29, 43, 37]",0
37,1.5,5.5,3.927666255449113,4.097372482513441,3.2119999999999997,1.545,"[30, 44, 36, 38]",1
38,2.5,5.5,-1,0,0,0,"[31, 45, 37, 39]",4
39,3.5,5.5,-1,0,0,0,"[32, 46, 38, 40]",4
40,4.5,5.5,1,0.9821462987297414,3.1359999999999997,1.43,"[33, 47, 39, 41]",0
41,5.5,5.5,0,0,0,0,"[34, 48, 40, 42]",5
42,6.5,5.5,0,0,0,0,"[35, 49, 41]",5
43,0.5,6.5,2.4972761867427207,3.60006085466476,4.2,2.195,"[36, 44]",0
44,1.5,6.5,2.3358246277998163,0.5682656632495359,0.552,0.435,"[37, 43, 45]",0
45,2.5,6.5,3.3426776421705986,3.8698988139675348,3.44,1.745,"[38, 44, 46]",0
46,3.5,6.5,3.5057167951804704,3.1473159714548244,2.6799999999999997,1.35,"[39, 45, 47]",1
47,4.5,6.5,3.3956377637958552,3.179611101855776,3.1359999999999997,1.335,"[40, 46, 48]",1
48,5.5,6.5,10,5.720000000000001,1.54,0.91,"[41, 47, 49]",1
49,6.5,6.5,-1,0,0,0,"[42, 48]",4
