node_id,x_coordinate,y_coordinate,value_at_start,value_degradation_rate,fire_degradation_rate,fire_amelioration_rate,neighborhood_list,state
1,0.5,0.5,1,1.8518532110091743,5.34,2.835,"[8, 2]",6
2,1.5,0.5,0,0,0,0,"[9, 1, 3]",5
3,2.5,0.5,0,0,0,0,"[10, 2, 4]",5
4,3.5,0.5,0,0,0,0,"[11, 3, 5]",5
5,4.5,0.5,0,0,0,0,"[12, 4, 6]",5
6,5.5,0.5,0,0,0,0,"[13, 5, 7]",5
7,6.5,0.5,0,0,0,0,"[14, 6]",5
8,0.5,1.5,1,2.374194032651529,7.088,3.57,"[1, 15, 9]",0
9,1.5,1.5,1,1.6995935168510419,5.264,2.51,"[2, 16, 8, 10]",1
10,2.5,1.5,0,0,0,0,"[3, 17, 9, 11]",5
11,3.5,1.5,0,0,0,0,"[4, 18, 10, 12]",5
12,4.5,1.5,0,0,0,0,"[5, 19, 11, 13]",5
13,5.5,1.5,8.992771120410534,11.67608015460806,4.124,1.895,"[6, 20, 12, 14]",0
14,6.5,1.5,2.562255730560617,3.3524753158439147,3.896,1.97,"[7, 21, 13]",0
15,0.5,2.5,2.6899397095697486,6.336917327950671,7.164,3.51,"[8, 22, 16]",0
16,1.5,2.5,3.424094626263056,9.130919003368149,8.0,4.0,"[9, 23, 15, 17]",0
17,2.5,2.5,0,0,0,0,"[10, 24, 16, 18]",5
18,3.5,2.5,0,0,0,0,"[11, 25, 17, 19]",5
19,4.5,2.5,1,1.2909878682842286,3.82,1.95,"[12, 26, 18, 20]",0
20,5.5,2.5,1,0.5088719657306044,1.236,0.865,"[13, 27, 19, 21]",0
21,6.5,2.5,3.9615218173718736,5.01132509897542,4.048,1.84,"[14, 28, 20]",0
22,0.5,3.5,0,0,0,0,"[15, 29, 23]",5
23,1.5,3.5,0,0,0,0,"[16, 30, 22, 24]",5
24,2.5,3.5,0,0,0,0,"[17, 31, 23, 25]",5
25,3.5,3.5,0,0,0,0,"[18, 32, 24, 26]",5
26,4.5,3.5,1,0.9151124744376279,2.452,1.46,"[19, 33, 25, 27]",0
27,5.5,3.5,1,0.9246294184720638,3.0599999999999996,1.325,"[20, 34, 26, 28]",0
28,6.5,3.5,1,2.4267793546054413,7.468,3.595,"[21, 35, 27]",0
29,0.5,4.5,2.9738633135990797,0.6197032533727423,0.4,0.435,"[22, 36, 30]",0
30,1.5,4.5,0,0,0,0,"[23, 37, 29, 31]",5
31,2.5,4.5,1.5502286346800576,3.0128800372512217,5.872,2.905,"[24, 38, 30, 32]",1
32,3.5,4.5,0,0,0,0,"[25, 39, 31, 33]",5
33,4.5,4.5,0,0,0,0,"[26, 40, 32, 34]",5
34,5.5,4.5,2.584051149273044,0.9653165200198478,1.084,0.57,"[27, 41, 33, 35]",1
35,6.5,4.5,0,0,0,0,"[28, 42, 34]",5
36,0.5,5.5,0,0,0,0,"[29, 43, 37]",5
37,1.5,5.5,0,0,0,0,"[30, 44, 36, 38]",5
38,2.5,5.5,1.1579624483885738,1.9028130624637176,5.188,2.405,"[31, 45, 37, 39]",0
39,3.5,5.5,4.928536466075171,5.984882138951063,3.5159999999999996,1.855,"[32, 46, 38, 40]",0
40,4.5,5.5,0,0,0,0,"[33, 47, 39, 41]",5
41,5.5,5.5,0,0,0,0,"[34, 48, 40, 42]",5
42,6.5,5.5,0,0,0,0,"[35, 49, 41]",5
43,0.5,6.5,0,0,0,0,"[36, 44]",5
44,1.5,6.5,8.671268702418065,18.258910344904283,6.176,3.195,"[37, 43, 45]",0
45,2.5,6.5,9.426777967762682,16.658415426956978,5.188,2.68,"[38, 44, 46]",1
46,3.5,6.5,5.860227514684569,3.7625187854443864,1.8439999999999999,0.985,"[39, 45, 47]",0
47,4.5,6.5,0,0,0,0,"[40, 46, 48]",5
48,5.5,6.5,0,0,0,0,"[41, 47, 49]",5
49,6.5,6.5,0,0,0,0,"[42, 48]",5
